Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,1100,13.4475,53.79,5.05,11.73,23.31,0.0,50.724545454545456,0.0,24.5,98.0,9.0,14.0,49.0,99.0,0,0.25,1.0,1.0,10.0,1.0,1.0,0,1344.75,55797.0,57141.75,0.0
1,94,1019,55.57446808510638,53.57446808510638,5.01063829787234,11.691489361702128,24.659574468085108,2.021276595744681,49.870215897939154,0.0,121.0,98.0,9.0,14.0,49.0,98.0,0,2.0,1.0,1.0,10.0,2.0,1.0,0,5224.0,50817.75,56041.75,111.0
2,126,989,45.291666666666664,50.611111111111114,4.95079365079365,11.718571428571424,24.603174603174605,2.8095238095238093,49.06900910010111,0.29365079365079366,182.25,98.0,9.0,14.06,49.5,97.0,1,3.25,1.0,1.0,10.0,1.5,1.0,0,5706.75,48529.25,54236.0,166.0
3,150,923,53.0059375,49.54,4.760666666666666,11.747199999999994,24.45,3.2533333333333334,48.45964247020585,0.46,164.0,99.0,9.0,14.06,49.5,112.0,2,3.53125,1.0,0.9,10.0,1.5,1.0,0,7950.890625,44728.25,52679.140625,141.0
4,190,871,48.53844572368421,47.15263157894737,4.681052631578946,11.752842105263149,24.192105263157895,3.8684210526315788,47.799583811710676,0.6947368421052632,178.875,99.0,9.0,14.120000000000001,49.5,124.875,2,0.8828125,1.0,0.9,9.94,1.0,1.0,0,9222.3046875,41633.4375,50855.7421875,246.0
5,222,800,49.71081432995496,46.648648648648646,4.564864864864863,11.766576576576565,24.114864864864863,3.8716216216216215,47.48171875,0.9009009009009009,178.875,99.0,9.1,14.120000000000001,49.5,123.875,3,0.8828125,1.0,0.9,9.94,1.5,1.0,0,11035.80078125,37985.375,49021.17578125,295.4
6,279,731,44.8517340109767,45.62724014336918,4.632258064516132,11.868100358422927,24.306451612903224,3.950537634408603,47.10300530095759,1.1433691756272402,164.0,100.0,9.1,14.120000000000001,49.5,122.875,4,0.8828125,1.0,0.9,9.94,1.5,1.0,0,12513.6337890625,34432.296875,46945.9306640625,326.4
7,325,643,46.044462139423075,43.57846153846154,4.660307692307692,11.809538461538448,23.923076923076923,4.087384615384615,46.99825646384137,1.323076923076923,159.875,100.0,9.1,14.180000000000001,49.5,164.0,4,0.8828125,1.0,0.8,9.94,1.5,1.0,0,14964.4501953125,30219.87890625,45184.3291015625,413.59999999999997
8,371,578,43.10518907408187,43.113207547169814,4.762533692722372,11.804312668463604,24.5188679245283,5.119676549865229,46.79784142517301,1.5067385444743935,164.0,100.0,9.1,14.180000000000001,49.5,163.0,5,0.8828125,1.0,0.8,9.879999999999999,1.0,1.0,0,15992.025146484375,27049.15234375,43041.177490234375,767.5
9,408,515,42.585092581954655,43.338235294117645,4.707843137254905,11.82240196078431,25.018382352941178,6.253186274509806,46.281951608009706,1.6740196078431373,193.8125,100.0,9.2,14.180000000000001,49.5,156.625,5,3.0185546875,1.0,0.8,9.879999999999999,1.5,0.8828125,0,17374.7177734375,23835.205078125,41209.9228515625,1171.0
10,427,460,41.989853584235945,41.7096018735363,4.704215456674474,11.842669789227157,25.57377049180328,6.800234192037475,46.81783447265625,1.8243559718969555,168.0,100.0,9.2,14.120000000000001,49.5,155.625,5,1.558837890625,1.0,0.8,9.819999999999999,1.5,1.0,0,17929.66748046875,21536.203857421875,39465.871337890625,1190.0
11,447,427,40.494341344641356,41.38255033557047,4.694407158836685,11.88357941834451,26.174496644295303,8.017449664429536,46.03603475601947,1.9888143176733781,171.75,100.0,9.2,14.120000000000001,49.5,154.625,6,0.7794189453125,1.0,0.8,9.819999999999999,1.5,0.79296875,0,18100.970581054688,19657.386840820312,37758.357421875,1398.7
12,456,393,39.77164271839878,40.780701754385966,4.669736842105261,11.901754385964901,27.091008771929825,8.836842105263159,45.91335228684598,2.129385964912281,167.11279296875,100.0,9.2,14.180000000000001,50.0,148.5625,6,0.913604736328125,1.0,0.8,9.819999999999999,1.5,1.0,0,18135.869079589844,18043.94744873047,36179.81652832031,1459.8
13,479,341,40.887501089458425,40.16283924843424,4.803757828810021,11.954739039665967,28.044885177453025,9.778079331941548,43.9201593035477,2.2630480167014615,181.4912109375,100.0,9.2,14.180000000000001,50.0,146.53125,7,0.913604736328125,1.0,0.8,9.819999999999999,1.5,0.465576171875,0,19585.113021850586,14976.774322509766,34561.88734436035,1460.6
14,493,313,37.67126799113368,40.614604462474645,4.828194726166327,12.000527383367146,28.61156186612576,10.184178498985796,45.41498577861359,2.3975659229208923,167.11279296875,100.0,9.2,14.120000000000001,50.0,145.53125,5,0.913604736328125,1.0,0.8,9.819999999999999,1.5,0.76507568359375,0,18571.935119628906,14214.890548706055,32786.82566833496,1441.2
15,480,305,37.1235037167867,40.45625,4.859166666666667,12.046416666666664,29.602083333333333,10.68854166666666,44.77181791712026,2.533333333333333,199.68310546875,100.0,9.2,14.120000000000001,50.0,167.11279296875,6,0.913604736328125,1.0,0.8,9.819999999999999,1.5,0.04052734375,0,17819.281784057617,13655.40446472168,31474.686248779297,1718.3
16,481,281,36.30118245146627,40.0997920997921,4.875883575883577,12.088773388773378,30.077962577962577,10.595218295218295,44.70702353915286,2.7047817047817047,199.94091796875,101.0,9.2,14.120000000000001,50.5,171.40087890625,6,1.894134521484375,1.0,0.8,9.819999999999999,1.5,0.421875,0,17460.868759155273,12562.673614501953,30023.542373657227,1494.2
17,486,237,37.970194734173056,38.82716049382716,4.90576131687243,12.125144032921805,30.670781893004115,11.167078189300414,43.68329597827251,2.845679012345679,199.94091796875,101.0,9.2,14.120000000000001,50.5,199.68310546875,6,1.894134521484375,2.0,0.9,9.819999999999999,1.5,0.26104736328125,0,18453.514640808105,10352.941146850586,28806.45578765869,1277.4
18,476,237,36.35406675659308,38.07983193277311,4.869117647058819,12.125504201680679,31.10924369747899,11.485924369747895,43.198330521080564,2.9894957983193278,229.53076171875,101.0,9.2,14.120000000000001,50.5,160.3359375,7,1.034027099609375,2.0,0.9,9.819999999999999,6.5,0.39453125,0,17304.535776138306,10238.004333496094,27542.5401096344,1795.1
19,488,197,34.7953819622759,38.22745901639344,4.894672131147535,12.161680327868842,31.24795081967213,12.065778688524595,46.53409064239657,3.1475409836065573,185.087890625,101.0,9.2,14.120000000000001,50.5,199.94091796875,7,1.894134521484375,3.0,0.9,9.819999999999999,7.0,2.0,0,16980.146397590637,9167.215856552124,26147.36225414276,1547.7
20,477,202,33.661466346596775,38.092243186582806,4.970230607966454,12.144863731656182,31.470649895178198,12.615513626834373,44.57531137277584,3.3123689727463312,185.087890625,101.0,9.299999999999999,14.180000000000001,50.5,198.94091796875,6,1.894134521484375,3.0,0.9,9.819999999999999,8.0,1.0,0,16056.51944732666,9004.21289730072,25060.73234462738,1975.0
21,465,185,34.928026398279336,38.41290322580645,4.950107526881723,12.104989247311826,31.887096774193548,12.769462365591396,42.00026596172436,3.4172043010752686,253.37628173828125,101.0,9.299999999999999,14.180000000000001,50.5,143.685546875,7,1.1483230590820312,3.0,0.9,9.819999999999999,8.0,0.046875,0,16241.53227519989,7770.049202919006,24011.581478118896,1492.8
22,477,168,33.675218729103136,37.071278825995805,4.963102725366874,12.081132075471693,32.142557651991616,13.316771488469598,40.63540110133943,3.559748427672956,201.3251953125,101.0,9.299999999999999,14.120000000000001,51.0,142.685546875,7,1.1483230590820312,3.0,0.9,9.819999999999999,8.0,1.186187744140625,0,16063.079333782196,6826.747385025024,22889.82671880722,1636.0
23,466,176,30.245368204403334,36.30472103004292,5.084549356223177,12.073948497854081,32.36909871244635,13.237124463519315,44.16656523401087,3.723175965665236,201.3251953125,101.0,9.299999999999999,14.120000000000001,51.0,150.9921875,7,1.1483230590820312,3.0,0.9,9.819999999999999,8.5,0.186187744140625,0,14094.341583251953,7773.315481185913,21867.657064437866,1647.6
24,450,159,32.469419512748715,35.88666666666666,5.194222222222223,12.087422222222227,32.876666666666665,13.741555555555557,41.09723137909511,3.8666666666666667,201.3251953125,100.0,9.299999999999999,14.120000000000001,51.0,177.0625,8,1.2319412231445312,3.0,0.9,9.819999999999999,8.5,0.47900390625,1,14611.238780736923,6534.459789276123,21145.698570013046,1497.2
25,426,168,31.23782726128896,35.931924882629104,5.2589201877934295,12.065211267605624,33.22769953051643,14.803990610328643,41.407137558573766,4.0,183.5955352783203,100.0,9.299999999999999,14.120000000000001,51.0,201.3251953125,8,2.4709043502807617,3.0,0.9,9.819999999999999,8.5,0.14832305908203125,1,13307.314413309097,6956.399109840393,20263.71352314949,1956.6
26,397,164,31.292399698901235,36.085642317380355,5.146851385390427,12.123727959697735,33.9345088161209,15.40352644836273,43.06991936956964,4.1183879093199,211.702392578125,100.0,9.299999999999999,14.120000000000001,51.0,175.0625,8,2.524974822998047,5.0,0.8,9.819999999999999,8.5,1.4182853698730469,1,12423.08268046379,7063.466776609421,19486.54945707321,1787.1
27,398,155,29.049511189436792,34.53517587939699,5.17788944723618,12.142462311557795,34.368090452261306,14.166582914572867,44.03662428548259,4.268844221105527,209.4556121826172,100.0,9.1,14.120000000000001,51.0,170.611328125,8,1.6031782627105713,5.0,0.8,9.759999999999998,8.5,0.4182853698730469,1,11561.705453395844,6825.676764249802,18387.382217645645,1095.2
28,403,125,29.95536887675302,33.583126550868485,5.20471464019851,12.159553349875937,34.60669975186104,13.689330024813898,43.89003760528564,4.387096774193548,187.5936050415039,100.0,9.1,14.120000000000001,51.0,183.5955352783203,9,1.6031782627105713,5.0,0.8,9.759999999999998,8.5,2.524974822998047,1,12072.013657331467,5486.254700660706,17558.268357992172,1018.9
29,403,122,29.29815145402629,34.20099255583126,5.203473945409431,12.184416873449143,35.00496277915633,14.155086848635245,40.30530530507447,4.513647642679901,200.1254119873047,100.0,9.1,14.120000000000001,51.0,144.9921875,9,1.6031782627105713,5.0,0.8,9.759999999999998,8.5,2.618943691253662,1,11807.155035972595,4917.247247219086,16724.40228319168,1477.2
30,384,125,29.293016664218158,33.841145833333336,5.235937500000004,12.198125000000003,35.30859375,13.924479166666663,37.42757300949096,4.6640625,200.1254119873047,100.0,9.1,14.120000000000001,51.0,166.6375732421875,9,1.6031782627105713,6.0,0.8,9.759999999999998,8.5,1.618943691253662,1,11248.518399059772,4678.446626186371,15926.965025246143,1416.6
31,366,129,28.330264123411126,33.36612021857923,5.147267759562844,12.259453551912577,36.12841530054645,14.587704918032788,38.63200250614521,4.754098360655738,209.14117431640625,100.0,9.2,14.120000000000001,51.0,179.68560791015625,9,2.524974822998047,9.0,0.8,9.759999999999998,8.5,0.68603515625,1,10368.876669168472,4983.528323292732,15352.404992461205,1513.8999999999999
32,363,123,26.72629908063852,32.539944903581265,5.099173553719008,12.281597796143254,36.833333333333336,14.168870523415983,40.54769242294436,4.87603305785124,197.39153671264648,99.0,9.2,14.120000000000001,51.0,200.1254119873047,9,2.524974822998047,9.0,0.8,9.759999999999998,8.5,0.4898681640625,2,9701.646566271782,4987.366168022156,14689.012734293938,1112.3999999999999
33,352,109,27.834986209530722,32.33522727272727,5.1215909090909095,12.257556818181826,37.40198863636363,14.379261363636369,38.976267174296424,4.988636363636363,175.00555419921875,99.0,9.2,14.120000000000001,51.0,263.51751708984375,10,2.524974822998047,9.0,0.9,9.759999999999998,8.5,0.256011962890625,2,9797.915145754814,4248.41312199831,14046.328267753124,1093.1
