Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,600,12.405,49.62,5.25,12.07,26.02,0.0,49.233333333333334,0.0,24.75,99.0,9.0,14.0,49.0,99.0,0,0.25,1.0,1.0,10.0,1.0,1.0,0,1240.5,29540.0,30780.5,0.0
1,92,1136,56.90760869565217,50.02173913043478,5.217391304347826,12.065217391304348,27.956521739130434,1.7173913043478262,49.00176056338028,0.0,116.75,99.0,9.0,14.0,49.0,99.0,0,5.0,1.0,1.0,10.0,2.0,1.0,0,5235.5,55666.0,60901.5,112.0
2,112,1121,49.25279017857143,50.919642857142854,5.1383928571428585,12.081964285714283,29.647321428571427,2.8214285714285716,49.191570026761816,0.25892857142857145,196.5,99.0,9.1,14.06,49.5,167.5,1,5.0,1.0,0.9,9.94,2.0,0.75,0,5516.3125,55143.75,60660.0625,153.0
3,138,1099,53.82427536231884,48.333333333333336,5.244927536231885,12.037971014492753,29.181159420289855,3.6666666666666665,48.99613284804368,0.41304347826086957,174.25,99.0,9.1,14.06,49.5,166.5,2,1.84375,1.0,0.9,9.94,2.0,0.75,0,7427.75,53846.75,61274.5,146.0
4,172,1095,51.24791061046512,48.80232558139535,5.151162790697675,12.144069767441856,29.738372093023255,4.309302325581395,48.331963470319636,0.622093023255814,151.0,99.0,9.1,14.06,49.5,165.5,2,0.921875,1.0,0.8,9.94,1.5,1.0,0,8814.640625,52923.5,61738.140625,278.3
5,211,1073,51.36963122037915,47.14691943127962,5.1303317535545006,12.092417061611368,29.471563981042653,5.031279620853081,47.997844827586206,0.8388625592417062,162.125,99.0,9.2,14.06,49.5,164.5,2,0.921875,1.0,0.8,9.94,1.5,1.0,0,10838.9921875,51501.6875,62340.6796875,365.2
6,245,1058,51.04471460459184,46.89387755102041,5.181632653061228,12.09714285714285,29.90204081632653,4.430204081632653,48.19904891304348,1.0448979591836736,151.0,99.0,9.2,14.06,50.0,163.5,3,0.921875,1.0,0.8,9.94,7.0,0.75,0,12505.955078125,50994.59375,63500.548828125,423.49999999999994
7,292,1021,52.536801690924655,47.167808219178085,5.19691780821918,12.131917808219171,30.07191780821918,4.796232876712329,47.64928685112635,1.2294520547945205,202.0625,99.0,9.299999999999999,14.120000000000001,50.0,162.5,3,4.359375,1.0,0.8,9.94,7.0,0.84375,0,15340.74609375,48649.921875,63990.66796875,464.5
8,348,973,54.426404229525865,47.264367816091955,5.1330459770115,12.100574712643674,30.01867816091954,5.65632183908046,47.34505074511819,1.410919540229885,265.09375,99.0,9.299999999999999,14.120000000000001,50.5,161.5,4,4.552734375,1.0,0.8,9.879999999999999,7.0,0.75,0,18940.388671875,46066.734375,65007.123046875,780.7
9,389,856,57.964361744858614,47.60154241645244,5.084575835475575,12.057172236503844,29.946015424164525,6.406169665809768,46.833502938814256,1.557840616966581,265.09375,97.0,9.299999999999999,14.120000000000001,50.5,160.5,4,3.271484375,5.0,0.8,9.879999999999999,6.5,1.0,0,22548.13671875,40089.478515625,62637.615234375,994.3
10,450,780,52.21067979600694,46.35777777777778,5.0875555555555545,12.077688888888895,29.997777777777777,7.467777777777779,46.79027694310897,1.7755555555555556,265.09375,97.0,9.299999999999999,14.120000000000001,50.5,208.578125,5,2.5263671875,5.0,0.8,9.879999999999999,6.5,1.0,0,23494.805908203125,36496.416015625,59991.221923828125,1314.3
11,492,679,51.771850089716715,45.333333333333336,5.098577235772357,12.088333333333326,30.323170731707318,7.664024390243902,47.373596281296024,1.9715447154471544,265.09375,97.0,9.299999999999999,14.180000000000001,50.5,207.578125,5,2.5263671875,5.0,0.8,9.879999999999999,6.0,1.0,0,25471.750244140625,32166.671875,57638.422119140625,1383.4
12,527,601,48.13817965599798,43.63757115749526,5.053510436432637,12.075749525616711,31.091081593927893,7.746110056925998,49.70345201032134,2.1195445920303606,168.34375,97.0,9.2,14.180000000000001,50.5,206.578125,5,1.94287109375,5.0,0.7000000000000001,9.879999999999999,6.0,1.0,0,25368.820678710938,29871.774658203125,55240.59533691406,1564.0
13,561,516,48.30485091319909,43.35294117647059,5.130481283422458,12.085240641711225,31.72459893048128,8.208021390374327,50.30124208908673,2.2762923351158646,204.845703125,97.0,9.2,14.180000000000001,50.5,205.578125,5,2.1419677734375,5.0,0.7000000000000001,9.879999999999999,6.5,1.0,0,27099.021362304688,25955.44091796875,53054.46228027344,1608.6
14,603,432,46.56002777251438,44.12271973466003,5.099502487562183,12.105936981757887,32.52653399668325,9.297678275290226,52.42796495225694,2.4344941956882256,243.53125,97.0,9.2,14.240000000000002,50.5,204.578125,6,2.1419677734375,5.0,0.7000000000000001,9.879999999999999,6.5,1.0,0,28075.696746826172,22648.880859375,50724.57760620117,2160.0
15,620,377,47.56231157856603,44.285483870967745,5.197741935483864,12.12903225806452,33.237096774193546,11.018225806451621,51.167415386169594,2.5516129032258066,222.2353515625,97.0,9.299999999999999,14.240000000000002,50.5,210.4189453125,6,2.1419677734375,5.0,0.7000000000000001,9.819999999999999,6.0,0.797607421875,0,29488.633178710938,19290.115600585938,48778.748779296875,2538.2
16,604,344,48.899745764321835,44.36920529801324,5.2951986754966835,12.174701986754974,34.038907284768214,12.712417218543054,51.236962784168334,2.653973509933775,238.60205078125,97.0,9.299999999999999,14.240000000000002,50.5,209.4189453125,6,2.1419677734375,5.0,0.7000000000000001,9.819999999999999,6.0,0.25,0,29535.44644165039,17625.515197753906,47160.9616394043,2814.5
17,600,342,46.39726743062337,43.895,5.338333333333333,12.215000000000018,34.555,13.335000000000006,50.89725061606246,2.8233333333333333,238.60205078125,97.0,9.299999999999999,14.240000000000002,50.5,164.34375,6,2.0657958984375,5.0,0.8,9.819999999999999,6.0,1.0,0,27838.360458374023,17406.85971069336,45245.22016906738,2930.8
18,585,307,45.61117405035557,43.06837606837607,5.457435897435893,12.241880341880353,35.258974358974356,13.639145299145307,54.95609256110673,2.9572649572649574,237.36083984375,96.0,9.299999999999999,14.240000000000002,50.5,238.60205078125,6,2.0657958984375,5.0,0.8,9.819999999999999,6.0,1.0,0,26682.536819458008,16871.520416259766,43554.05723571777,2364.5
19,587,288,44.47629591309841,41.947189097103916,5.447700170357744,12.305621805792157,35.45996592844975,13.806132879045993,54.485312673780655,3.1652470187393527,260.05712890625,96.0,9.299999999999999,14.180000000000001,51.0,160.671875,6,2.0657958984375,6.0,0.8,9.819999999999999,6.0,1.0,0,26107.58570098877,15691.770050048828,41799.3557510376,2640.0
20,599,266,42.35430114058302,40.85809682804675,5.433889816360599,12.319966611018367,35.93405676126878,13.60317195325542,55.23930037649054,3.323873121869783,194.4755859375,96.0,9.299999999999999,14.240000000000002,51.0,237.36083984375,7,2.0657958984375,6.0,0.7000000000000001,9.819999999999999,6.0,0.5263671875,0,25370.22638320923,14693.653900146484,40063.88028335571,2219.2
21,604,235,42.309747872763126,39.91887417218543,5.4139072847682055,12.325496688741735,36.56539735099338,13.85877483443709,54.25068969726563,3.4718543046357615,245.35009765625,96.0,9.299999999999999,14.240000000000002,51.5,236.36083984375,7,2.0657958984375,6.0,0.7000000000000001,9.879999999999999,10.5,3.0,1,25555.087715148926,12748.912078857422,38303.99979400635,2298.0
22,605,212,41.874824224424756,39.96198347107438,5.459669421487597,12.332859504132227,36.75537190082645,14.661322314049578,54.1500559033088,3.618181818181818,240.85107421875,96.0,9.299999999999999,14.240000000000002,51.5,235.36083984375,7,2.0657958984375,6.0,0.7000000000000001,9.819999999999999,10.5,2.0,1,25334.268655776978,11479.811851501465,36814.08050727844,2587.5
23,608,211,38.577541456410756,39.4078947368421,5.549999999999996,12.31914473684213,37.09046052631579,14.293092105263153,54.94357433590279,3.7664473684210527,240.85107421875,96.0,9.299999999999999,14.240000000000002,51.5,234.36083984375,7,2.0657958984375,5.0,0.7000000000000001,9.819999999999999,11.5,4.51416015625,1,23455.14520549774,11593.094184875488,35048.23939037323,2533.5
24,596,198,40.519400644622394,39.41778523489933,5.528691275167777,12.307818791946321,37.22231543624161,15.038758389261737,48.87854028952242,3.8741610738255035,246.505859375,96.0,9.399999999999999,14.240000000000002,51.5,199.57781982421875,8,1.7716331481933594,5.0,0.6000000000000001,9.819999999999999,13.5,3.51416015625,1,24149.562784194946,9677.95097732544,33827.513761520386,2621.5
25,570,190,41.93972867162604,39.02807017543859,5.622456140350873,12.368947368421042,37.35614035087719,16.150526315789463,46.35360282094855,4.066666666666666,243.02734375,97.0,9.399999999999999,14.240000000000002,51.5,198.57781982421875,8,1.7716331481933594,5.0,0.6000000000000001,9.819999999999999,13.5,2.51416015625,1,23905.645342826843,8807.184535980225,32712.829878807068,2888.2999999999997
26,522,225,39.48717577430023,38.076628352490424,5.687356321839074,12.386628352490407,37.89750957854406,16.50153256704982,48.5307999420166,4.226053639846743,243.02734375,97.0,9.399999999999999,14.240000000000002,51.5,197.57781982421875,8,1.7716331481933594,5.0,0.6000000000000001,9.819999999999999,18.5,1.51416015625,1,20612.305754184723,10919.429986953735,31531.73574113846,2976.7999999999997
27,520,201,39.82982269387979,37.23269230769231,5.871346153846154,12.363692307692313,38.14230769230769,16.654615384615365,47.32561139918085,4.361538461538461,224.92861938476562,97.0,9.399999999999999,14.240000000000002,51.5,243.02734375,8,1.7716331481933594,5.0,0.6000000000000001,9.819999999999999,18.5,0.51416015625,2,20711.50780081749,9512.447891235352,30223.95569205284,1943.3
