Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,600,12.8075,51.23,5.04,12.02,21.8,0.0,50.23833333333334,0.0,24.75,99.0,9.0,14.0,49.0,99.0,0,0.5,2.0,1.0,10.0,1.0,1.0,0,1280.75,30143.0,31423.75,0.0
1,94,1131,48.8218085106383,52.776595744680854,5.0,12.03191489361702,22.904255319148938,1.8617021276595744,49.67948717948718,0.0,113.0,99.0,9.0,14.0,49.0,99.0,0,2.25,2.0,1.0,10.0,2.0,1.0,0,4589.25,56187.5,60776.75,108.0
2,110,1117,49.04659090909091,50.663636363636364,5.208181818181818,12.163636363636364,23.545454545454547,3.118181818181818,49.3363921217547,0.21818181818181817,140.5,99.0,9.1,14.06,49.0,168.75,1,2.25,3.0,0.9,10.0,3.0,1.0,0,5395.125,55108.75,60503.875,157.0
3,133,1106,52.14790883458647,49.3984962406015,5.276691729323309,12.105263157894736,25.13533834586466,3.2330827067669174,48.49796564195298,0.44360902255639095,138.125,99.0,9.1,14.06,49.0,167.75,2,2.25,3.0,0.9,9.94,3.0,0.25,0,6935.671875,53638.75,60574.421875,142.0
4,164,1083,54.9077743902439,48.073170731707314,5.296951219512196,12.077804878048784,23.554878048780488,3.58109756097561,48.3393351800554,0.6463414634146342,204.0,99.0,9.1,14.06,49.0,166.75,2,2.78125,3.0,0.9,9.94,2.5,0.25,0,9004.875,52351.5,61356.375,170.29999999999998
5,196,1064,56.73505261479592,48.65816326530612,5.330102040816329,12.045612244897962,24.571428571428573,3.9729591836734692,47.747591635338345,0.826530612244898,204.0,99.0,9.2,14.06,49.0,165.75,3,2.78125,3.0,0.9,9.879999999999999,2.5,1.0,0,11120.0703125,50803.4375,61923.5078125,260.4
6,233,1055,53.47490276287554,48.30042918454936,5.187982832618028,11.904549356223177,24.98068669527897,4.67381974248927,47.19284656398104,1.03862660944206,204.0,99.0,9.2,14.120000000000001,49.0,164.75,4,2.78125,3.0,0.8,9.879999999999999,2.5,1.0,0,12459.65234375,49788.453125,62248.10546875,429.2
7,259,1028,58.46592211631274,48.52123552123552,5.1054054054054046,11.88216216216216,26.07335907335907,4.72200772200772,46.781515989785994,1.193050193050193,204.0,99.0,9.2,14.120000000000001,49.0,163.75,4,2.75,3.0,0.8,9.879999999999999,2.5,1.0,0,15142.673828125,48091.3984375,63234.072265625,506.2
8,296,1017,56.76075538429054,48.16216216216216,5.135472972972972,11.833851351351353,26.14864864864865,4.63243243243243,46.295899397738445,1.3885135135135136,240.25,95.0,9.2,14.120000000000001,49.0,167.75,4,3.4375,3.0,0.8,9.879999999999999,3.0,0.921875,0,16801.18359375,47082.9296875,63884.11328125,530.5
9,332,984,58.72481527673193,48.147590361445786,5.149397590361447,11.772710843373492,27.079819277108435,5.628313253012045,46.084131256351625,1.5512048192771084,240.25,95.0,9.299999999999999,14.120000000000001,49.0,204.0,4,4.125,2.0,0.8,9.879999999999999,3.0,1.0,0,19496.638671875,45346.78515625,64843.423828125,680.3
