Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxL,maxFE,maxGen,minAE,minET,minH,minV,minL,minFE,minGen,totalAE,totalFE,totalE,totalCombat,,low bound,mid bound,high bound,avgCombat,food_change 
32,659,188,8.126163505786558,9.554628224582702,6.006828528072839,73.21623672230652,40.33687405159332,12.82259359123542,5.095599393019727,72.96176147460938,48,9.2,152,50.5,95.42514419555664,9,0.16155004501342773,0.5,1.6999999999999997,0,17.5,0.12328147888183594,2,5355.141750313342,2410.647595152259,7765.7893454656005,2234.2999999999997,,1120.3,3958.5,6062.8,3.390440061,-22
33,672,160,7.923730513092042,9.344494047619047,6.027380952380953,74.82291666666667,40.482142857142854,12.128263170085848,5.254464285714286,95.05360722541809,48,9.2,152,50.5,72.96176147460938,9,0.16155004501342773,0.5,1.6999999999999997,0,17.5,0.15684247016906738,2,5324.746904797852,1940.5221072137356,7265.269012011588,2563.2,,1142.4,4050.4,6182.4,3.814285714,-28
34,641,180,7.722282511546813,8.867394695787832,6.014820592823714,75.60374414976599,40.520280811232446,10.739827517833975,5.439937598,95.05360722541809,45,9.2,152,50.5,71.96176147460938,9,0.16155004501342773,0.5,1.7999999999999998,7.5,17.5,0.036087036,2,4949.983089901507,1933.1689532101154,6883.152043111622,3498,,2307.6,7711,11794.4,5.457098284,20
35,628,163,7.726850035968147,8.726910828025478,5.925318471337579,74.33917197452229,40.83598726,9.813139946685613,5.550955414012739,95.05360722541809,45.5,9.2,152,50.5,70.96176147460938,9,0.16155004501342773,0.5,1.7999999999999998,7.5,17,0.124359131,2,4852.461822587997,1599.5418113097548,6452.003633897752,2731.2999999999997,,1695.6,5581.65,8666.4,4.349203822,-17
36,615,159,7.205743086825662,8.228455284552846,5.894471544715448,73.94552845528456,41.09512195121951,10.512764904624635,5.743089430894309,95.05360722541809,45.5,9.2,152,50.5,69.96176147460938,10,0.16155004501342773,0.5,1.7999999999999998,7.5,17,0.11163806915283203,2,4431.531998397782,1671.5296198353171,6103.061618,2955.6,,1660.5,5437.65,8487,4.805853659,-4
37,585,173,6.647944519,7.815384615384615,5.887692307692304,74.89145299,41.373504273504274,10.643183592717685,5.904273504273505,62.717830657958984,45.5,9.2,153.5,50.5,68.96176147460938,10,0.16155004501342773,0.5,1.7999999999999998,7.5,17,0.011871427297592163,2,3889.047543756664,1841.2707615401596,5730.318305296823,2701,,1579.5,5166.45,8073,4.617094017,14
38,562,163,6.841160189496267,7.572953736654804,5.891103202846976,74.42437722419929,41.27580071174377,9.493049641722596,6.088967971530249,83.36677551269531,45.5,9.2,153.5,50.5,52.36967396736145,10,0.16155004501342773,0.5,1.7999999999999998,7.5,17,0.17744064331054688,2,3844.732026496902,1547.3670916007832,5392.099118097685,2306.6,,1517.4,4966.2,7755.6,4.104270463,-10
39,548,156,6.3570365732625795,7.120437956,5.848175182481747,74.40419708029196,41.48905109489051,9.988720815,6.25,52.809950828552246,45.5,9.2,153.5,50.5,62.717830657958984,10,0.16155004501342773,0.5,1.7999999999999998,11,17,0.055817783,2,3483.6560421478935,1558.2404471472837,5041.896489295177,2355.2,,1479.6,4807.2,7562.4,4.297810219,-7
40,547,137,5.938568487017665,7.012797074954296,5.821389396709316,73.58318098720292,41.3345521,10.684785729396518,6.420475319926874,63.3277154,45.5,9.299999999999999,153.5,50,60.88409423828125,10,0.16155004501342773,0.5,1.7999999999999998,11,16.5,0.050508499,2,3248.396962398663,1463.8156449273229,4712.212607325986,1953.5,,984.6,3184.3,5087.1,3.571297989,-19
41,537,123,6.089813715017364,7.054003724394786,5.793482309124761,71.60055865921788,41.52513966480447,9.338547165,6.5251396648044695,62.555784702301025,45.5,9.299999999999999,153.5,50,59.88409423828125,10,0.16155004501342773,0.5,1.7999999999999998,11,16.5,0.1629914310760796,2,3270.2299649643246,1148.641301297117,4418.871266261442,2005.3999999999999,,966.6,3111.1,4994.1,3.734450652,-14
42,518,105,6.235878943552399,6.711389961389961,5.736872586872587,71.01833976833977,41.608108108108105,8.990406807884574,6.700772201,67.42974853515625,45.5,9.299999999999999,153.5,50,47.60298288,10,0.16155004501342773,0.5,1.6999999999999997,11,16.5,0.085585475,2,3230.185292760143,943.9927148278803,4174.178007588023,1893.1999999999998,,880.6,2971.7,4817.4,3.654826255,-18
43,530,91,5.903421154087585,6.252830188679245,5.708679245283016,71.15943396226415,41.741509433962264,8.644365281997514,6.909433962264151,67.42974853515625,45.5,9.299999999999999,153.5,50.5,37.93930435180664,10,0.15760819765273482,0.5,1.6999999999999997,11,17,0.16155004501342773,3,3128.813212,786.6372406617738,3915.450452328194,1505.8999999999999,,450.5,1512.8,2464.5,2.841320755,-14
44,541,84,5.2092983338705565,6.086876155268023,5.7175600739371495,71.72088724584104,41.809611829944544,9.719305486019168,7.042513863216266,62.555784702301025,45.5,9.299999999999999,153.5,50.5,67.42974853515625,10,0.15760819765273482,0.5,1.6999999999999997,11,17,0.3259828621521592,3,2818.2303986239713,816.4216608256102,3634.6520594495814,1539.3,,459.85,1546.6,2515.65,2.845286506,-7
45,552,69,5.1476466914918735,5.870471014492754,5.676630435,70.99818841,41.85144927536232,8.297072804389535,7.181159420289855,83.82379865646362,29.5,9.299999999999999,153.5,50.5,50.12878441810608,11,0.15760819765273482,0.5,1.6999999999999997,11,16.5,0.071193695,3,2841.5009737035143,572.4980235028779,3413.9989972063922,1619.3,,469.2,1566.75,2566.8,2.933514493,-15
46,549,74,4.554343167580169,5.762295081967213,5.645901639344256,70.70127504553734,41.85519126,9.667930850889723,7.375227686703097,42.46241519972682,29.5,9.299999999999999,153.5,50.5,62.555784702301025,11,0.15760819765273482,0.5,1.6999999999999997,11,16.5,0.21085470297839493,3,2500.334399001513,715.4268829658395,3215.7612819673523,1948.2,,933.3,3099.6,5105.7,3.54863388,5
47,531,77,4.424366733294885,5.557438795,5.603389830508473,71.52354048964219,41.86346516007533,8.861712053031116,7.519774011299435,79.54286527633667,29.5,9.299999999999999,153.5,50.5,54.47304480522871,11,0.15760819765273482,0.5,1.6999999999999997,11,16.5,0.3571477383375168,3,2349.3387353795843,682.3518281,3031.690563,2047.1,,902.7,2975.4,4938.3,3.855178908,3
48,505,87,4.0591578308453995,5.301980198019802,5.5918811881188075,71.88316831683169,41.95742574257426,9.366823259160999,7.6138613861386135,41.01771254092455,29.5,9.299999999999999,153.5,50.5,79.54286527633667,11,0.15760819765273482,0.5,1.6999999999999997,11,16.5,0.1289806179702282,3,2049.874704576927,814.9136235470069,2864.7883281239338,2061.1,,1287.75,4235.85,7044.75,4.081386139,10
49,492,89,3.9660808900094646,5.125,5.557926829268289,72.21138211382114,42.09146341463415,8.325331188,7.703252032520325,55.641243293881416,28.5,9.299999999999999,150.5,50.5,78.54286527633667,12,0.15760819765273482,0.5,1.6999999999999997,11,30,0.012752361595630646,3,1951.3117978846567,740.9544756937976,2692.2662735784543,1734.3999999999999,,836.4,2734.5,4575.6,3.525203252,2
50,467,98,3.9388133859321015,4.998929336188437,5.480085653104923,72.24839400428266,42.04817987152034,6.927436758292933,7.809421841541756,83.23516570404172,28.5,9.299999999999999,150.5,50.5,40.01771254092455,12,0.15760819765273482,0.5,1.6999999999999997,11,30,0.20813747616193723,3,1839.4258512302913,678.8888023127074,2518.3146535429987,1699.1,,793.9,2559.2,4343.1,3.638329764,9
