Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,600,13.175,52.7,4.89,11.88,24.14,0.0,49.85,0.0,24.75,99.0,9.0,14.0,49.0,99.0,0,0.25,1.0,1.0,10.0,1.0,1.0,0,1317.5,29910.0,31227.5,0.0
1,97,1128,43.96649484536083,52.31958762886598,4.938144329896907,11.876288659793815,24.855670103092784,1.9175257731958764,51.10793439716312,0.0,111.75,99.0,9.0,14.0,49.0,99.0,0,0.25,1.0,1.0,10.0,2.0,1.0,0,4264.75,57649.75,61914.5,89.0
2,116,1110,47.59375,50.35344827586207,5.068103448275862,11.78396551724138,26.094827586206897,3.310344827586207,50.512837837837836,0.20689655172413793,185.75,99.0,9.0,14.0,49.0,109.75,1,0.25,1.0,1.0,9.94,5.0,0.25,0,5520.875,56069.25,61590.125,184.0
3,145,1097,48.07446120689655,49.61379310344827,5.012413793103449,11.882758620689655,25.70344827586207,3.5310344827586206,49.671661349134,0.41379310344827586,144.25,99.0,9.0,14.06,49.0,108.75,2,1.15625,1.0,0.9,9.94,5.0,0.75,0,6970.796875,54489.8125,61460.609375,165.0
4,170,1071,55.503170955882354,47.99411764705882,5.185294117647058,11.846705882352941,25.69705882352941,3.7594117647058827,49.66142915499533,0.6,156.0,99.0,9.0,14.06,49.0,107.75,2,1.15625,1.0,0.9,9.94,4.5,0.578125,0,9435.5390625,53187.390625,62622.9296875,185.1
5,214,1065,50.104683849299064,47.5,5.098130841121494,11.8592523364486,25.827102803738317,3.6172897196261684,49.276643192488265,0.8551401869158879,180.0625,99.0,9.1,14.06,49.0,136.5,3,0.2890625,1.0,0.8,9.879999999999999,4.5,1.0,0,10722.40234375,52479.625,63202.02734375,204.0
6,257,1045,54.0835625911965,44.6147859922179,5.12217898832685,11.83377431906615,26.40077821011673,4.233073929961089,48.38714114832536,1.066147859922179,178.5,99.0,9.1,14.06,49.0,135.5,4,0.2890625,1.0,0.8,9.879999999999999,4.5,1.0,0,13899.4755859375,50564.5625,64464.0380859375,302.6
7,299,1038,52.06107108329849,44.06020066889632,5.1043478260869595,11.830367892976591,26.842809364548494,4.349498327759197,48.68488454359345,1.294314381270903,176.125,99.0,9.1,14.120000000000001,49.0,134.5,4,0.2890625,1.0,0.8,9.819999999999999,4.5,1.0,0,15566.26025390625,50534.91015625,66101.17041015625,558.4
8,341,1025,54.634141312316714,43.02052785923754,5.041642228739006,11.856774193548386,27.576246334310852,5.292961876832844,48.27434737042683,1.4721407624633431,195.25,99.0,9.1,14.120000000000001,49.0,133.5,4,1.25,1.0,0.8,9.819999999999999,4.5,1.0,0,18630.2421875,49481.2060546875,68111.4482421875,689.8
9,375,923,56.74761197916666,44.67733333333333,4.925866666666671,11.861760000000002,27.656,6.249066666666667,48.059189421384076,1.648,204.65625,99.0,9.1,14.120000000000001,49.0,195.25,4,1.316162109375,1.0,0.8,9.819999999999999,4.0,0.25,0,21280.3544921875,44358.6318359375,65638.986328125,1015.3000000000001
10,429,834,51.814451559995995,44.34965034965035,4.932400932400933,11.877995337995335,28.06177156177156,6.441025641025638,48.61309565628747,1.9254079254079255,149.96875,99.0,9.1,14.120000000000001,48.5,194.25,5,1.316162109375,1.0,0.8,9.819999999999999,4.0,0.25,0,22228.39971923828,40543.32177734375,62771.72149658203,1157.4
11,481,725,50.885183734854145,43.482328482328484,4.9675675675675715,11.882619542619551,28.146569646569645,6.682536382536382,49.45236429148707,2.1205821205821205,173.0546875,99.0,9.1,14.120000000000001,48.5,193.25,5,1.56396484375,1.0,0.7000000000000001,9.819999999999999,4.0,1.0,0,24475.773376464844,35852.964111328125,60328.73748779297,1060.2
12,531,631,50.03396784608198,43.03578154425612,5.033333333333342,11.900225988700571,28.370998116760827,7.414312617702448,49.5880542882082,2.3145009416195856,183.37109375,98.0,9.2,14.120000000000001,48.5,192.25,6,1.0826416015625,1.0,0.7000000000000001,9.819999999999999,4.0,0.316162109375,0,26568.03692626953,31290.062255859375,57858.099182128906,1474.0
13,577,557,46.76839741883699,42.78162911611785,5.124610051993074,11.914731369150783,28.848353552859617,8.008145580589254,50.90400934133752,2.5043327556325825,161.33203125,98.0,9.2,14.120000000000001,48.5,191.25,6,1.15478515625,1.0,0.7000000000000001,9.819999999999999,4.0,0.53125,0,26985.365310668945,28353.533203125,55338.898513793945,1737.2
14,589,468,47.87804701696632,42.24787775891341,5.096095076400688,11.92353140916809,29.561969439728355,9.25534804753821,53.84149222088675,2.6502546689303905,162.26171875,98.0,9.2,14.120000000000001,48.5,190.25,6,1.112548828125,1.0,0.7000000000000001,9.819999999999999,4.0,1.0,0,28200.169692993164,25197.818359375,53397.988052368164,2149.9
15,603,441,45.75142516583748,43.38971807628524,5.08971807628525,11.903217247097846,30.551409618573796,10.228026533996685,53.079075612178464,2.7960199004975124,214.71484375,98.0,9.2,14.120000000000001,48.5,189.25,6,1.199615478515625,1.0,0.7000000000000001,9.819999999999999,4.5,1.0,0,27588.109375,23407.872344970703,50995.9817199707,2419.1
16,593,379,49.86498337049307,43.284991568296796,5.0735244519393055,11.870792580101194,30.84822934232715,11.072512647554804,52.08249618006885,2.947723440134907,183.8212890625,98.0,9.1,14.120000000000001,49.0,214.71484375,6,0.5998077392578125,1.0,0.7000000000000001,9.819999999999999,4.5,1.22509765625,0,29569.935138702393,19739.266052246094,49309.201190948486,2406.2
17,597,376,46.293752516933424,42.551088777219434,5.0619765494137425,11.843149078726956,31.870184254606365,11.563484087102188,51.910172198681124,3.103852596314908,229.6171875,98.0,9.1,14.120000000000001,49.0,213.71484375,6,0.577392578125,1.0,0.7000000000000001,9.819999999999999,4.5,0.546875,0,27637.370252609253,19518.2247467041,47155.594999313354,2645.6
