Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxL,maxFE,maxGen,minAE,minET,minH,minV,minL,minFE,minGen,totalAE,totalFE,totalE,totalCombat
29,526,187,16.630123469900667,15.313688212927756,2.897528517110266,11.750494296577948,9.40009505703422,29.852388046442826,6.064638783269962,177.53611755371094,82.0,4.249999999999999,16.47999999999999,14.599999999999998,213.564453125,10,0.28444910049438477,1.0,0.7999999999999998,9.68,7.8,0.04380035400390625,1,8747.44494516775,5582.396564684808,14329.841509852558,1045.45
30,513,180,17.589371104250873,15.062378167641326,2.8896686159844043,11.698167641325544,9.359356725146212,25.23922055086328,6.265107212475634,241.04451656341553,82.0,4.249999999999999,16.47999999999999,13.599999999999998,158.66786193847656,11,0.28444910049438477,1.0,0.7999999999999998,9.68,7.8,0.13730239868164062,2,9023.347376480699,4543.05969915539,13566.407075636089,991.3
31,494,179,17.97852526435832,14.807692307692308,2.9236842105263117,11.721133603238869,9.72803643724697,21.766034546677627,6.495951417004049,225.30872344970703,82.0,4.249999999999999,16.47999999999999,13.599999999999998,157.66786193847656,11,0.28444910049438477,1.0,0.7499999999999998,9.68,8.2,0.08245602250099182,2,8881.39148059301,3896.120183855295,12777.511664448306,855.5
32,504,162,17.43109827439877,14.327380952380953,2.942956349206348,11.799365079365074,9.948611111111108,19.672364611816764,6.740079365079365,225.30872344970703,82.0,4.249999999999999,16.47999999999999,18.599999999999998,156.66786193847656,11,0.29259347915649414,1.0,0.7499999999999998,9.68,10.0,0.0038483142852783203,2,8785.273530296981,3186.923067114316,11972.196597411297,793.05
33,510,141,15.69451802502222,13.254901960784315,2.9626470588235265,11.737960784313724,9.814999999999994,23.292963041296453,6.986274509803922,175.3766303062439,82.0,4.249999999999999,16.47999999999999,10.8,130.09388035535812,11,0.29259347915649414,1.0,0.7499999999999998,9.68,10.0,0.0038483142852783203,2,8004.204192761332,3284.3077888228,11288.511981584132,860.5
34,497,155,13.88475024838973,13.338028169014084,2.9790744466800794,11.662696177062374,9.70704225352112,24.112893925450983,7.173038229376258,175.3766303062439,82.0,4.299999999999999,16.47999999999999,2.450000000000003,137.34484100341797,11,0.29259347915649414,1.0,0.7999999999999998,9.6,10.0,0.46629637479782104,2,6900.720873449696,3737.4985584449023,10638.219431894599,991.75
35,492,144,13.985289441279185,12.721544715447154,2.9806910569105654,11.624065040650406,9.525711382113823,22.321572470633935,7.396341463414634,175.3766303062439,82.0,4.299999999999999,16.39999999999999,1.4500000000000028,156.61844909191132,11,0.260307002812624,1.0,0.7999999999999998,9.6,10.8,0.027838528156280518,2,6880.762405109359,3214.3064357712865,10095.068840880645,964.4
36,476,151,12.915253840529207,12.144957983193278,2.926890756302519,11.633697478991595,9.276890756302516,22.31012138846756,7.5588235294117645,156.76211699843407,82.0,4.299999999999999,16.39999999999999,0.45000000000000284,175.3766303062439,12,0.260307002812624,1.0,0.7999999999999998,9.6,11.0,0.1595475673675537,3,6147.660828091903,3368.8283296586014,9516.489157750504,982.9499999999999
37,455,147,13.507293785003316,11.82857142857143,2.939450549450548,11.755164835164832,8.987692307692306,20.1354318920968,7.7736263736263735,175.6573810428381,82.0,4.299999999999999,16.39999999999999,5.85,147.94750452041626,13,0.260307002812624,1.0,0.7999999999999998,9.6,11.0,0.2039794921875,3,6145.818672176509,2959.9084881382296,9105.727160314738,927.6
38,447,146,13.447985128159697,11.592841163310961,2.9200223713646523,11.780134228187913,9.095525727069347,16.831525784603013,7.9552572706935125,156.76211699843407,82.0,4.299999999999999,16.39999999999999,5.9,153.34397411346436,13,0.260307002812624,1.0,0.7999999999999998,9.6,11.0,0.13395575049798936,3,6011.249352287385,2457.40276455204,8468.652116839425,782.1
