Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,600,12.415,49.66,5.33,11.98,24.17,0.0,48.76833333333333,0.0,24.25,97.0,9.0,14.0,49.0,99.0,0,0.75,3.0,1.0,10.0,1.0,1.0,0,1241.5,29261.0,30502.5,0.0
1,95,1129,48.75,50.11578947368421,5.336842105263158,11.978947368421053,25.263157894736842,1.9789473684210526,49.25,0.0,112.75,97.0,9.0,14.0,49.0,99.0,0,1.0,3.0,1.0,10.0,2.0,1.0,0,4631.25,55603.25,60234.5,114.0
2,113,1096,51.07024336283186,46.83185840707964,5.266371681415929,11.939646017699113,26.048672566371682,3.3716814159292037,49.012545620437955,0.21238938053097345,172.25,97.0,9.1,14.0,49.0,98.0,1,1.0,3.0,0.9,9.94,2.0,1.0,0,5770.9375,53717.75,59488.6875,207.0
3,134,1054,54.774253731343286,45.723880597014926,5.229850746268658,11.979850746268655,26.26492537313433,3.9776119402985075,48.75343927893738,0.3880597014925373,148.75,97.0,9.1,14.06,49.0,99.5,2,1.0,3.0,0.9,9.94,2.0,1.0,0,7339.75,51386.125,58725.875,196.0
4,170,1017,52.62757352941176,43.01176470588236,5.053529411764706,12.043999999999997,26.514705882352942,3.3864705882352943,47.96195919370698,0.6235294117647059,140.25,95.0,9.2,14.06,49.0,99.75,2,1.0,3.0,0.8,9.879999999999999,4.5,1.0,0,8946.6875,48777.3125,57724.0,201.60000000000002
5,217,971,46.14339717741935,42.8294930875576,5.068202764976958,12.083225806451612,26.322580645161292,3.1013824884792633,48.294026776519054,0.8617511520737328,156.4375,95.0,9.2,14.06,49.0,132.75,3,0.921875,3.0,0.8,9.879999999999999,4.5,1.0,0,10013.1171875,46893.5,56906.6171875,180.3
6,259,888,53.35522743725869,40.12355212355212,5.0741312741312745,12.105405405405406,26.14864864864865,3.513513513513514,47.733072916666664,1.05019305019305,152.5,96.0,9.2,14.06,49.0,131.75,3,1.59375,2.0,0.8,9.879999999999999,4.5,1.0,0,13819.00390625,42386.96875,56205.97265625,297.0
7,321,837,46.29668029595015,39.25233644859813,5.055451713395638,12.107538940809972,26.621495327102803,4.562305295950156,47.80788903823178,1.2897196261682242,152.5,96.0,9.2,14.06,49.0,140.25,3,1.59375,1.0,0.7000000000000001,9.879999999999999,4.0,1.0,0,14861.234375,40015.203125,54876.4375,577.2
8,370,773,44.13523015202703,36.932432432432435,5.034324324324328,12.111891891891894,26.681081081081082,5.44054054054054,48.95955287839586,1.4675675675675677,161.59375,96.0,9.2,14.06,49.0,144.0,4,0.8701171875,1.0,0.7000000000000001,9.879999999999999,4.0,0.25,0,16330.03515625,37845.734375,54175.76953125,765.6999999999999
9,432,688,42.75256234628183,36.710648148148145,5.151851851851852,12.103055555555567,26.569444444444443,5.971064814814815,48.69651617005814,1.6782407407407407,168.21875,96.0,9.2,14.120000000000001,49.5,143.0,4,0.8701171875,1.0,0.7000000000000001,9.879999999999999,4.0,1.0,0,18469.10693359375,33503.203125,51972.31005859375,1032.0
10,477,609,43.07218194157822,35.56184486373166,5.095178197064992,12.111446540880502,26.835429769392032,6.551781970649891,48.251937089490966,1.8721174004192873,168.21875,96.0,9.2,14.120000000000001,49.5,142.0,5,0.8701171875,1.0,0.7000000000000001,9.879999999999999,4.0,1.0,0,20545.430786132812,29385.4296875,49930.86047363281,1242.5
11,504,564,42.133291940840465,33.20634920634921,5.053174603174605,12.117936507936502,27.427579365079364,7.74702380952381,47.626823262965424,2.0555555555555554,173.3125,96.0,9.299999999999999,14.120000000000001,49.5,136.59375,5,0.7109375,1.0,0.7000000000000001,9.879999999999999,4.5,0.59375,0,21235.179138183594,26861.5283203125,48096.707458496094,1773.6
12,518,516,41.55651183846374,32.37837837837838,4.901158301158302,12.09965250965251,28.396718146718147,8.61081081081081,47.87621691799903,2.2258687258687258,213.6015625,96.0,9.299999999999999,14.120000000000001,49.5,168.21875,5,0.8701171875,1.0,0.7000000000000001,9.819999999999999,4.5,0.421875,0,21526.27313232422,24704.1279296875,46230.40106201172,1840.5
13,570,460,38.68740828664679,31.87543859649123,4.93,12.064877192982452,28.640350877192983,9.189999999999998,47.9741550611413,2.4280701754385965,213.6015625,96.0,9.399999999999999,14.180000000000001,49.5,167.21875,5,0.834716796875,1.0,0.7000000000000001,9.819999999999999,4.5,0.265625,0,22051.822723388672,22068.111328125,44119.93405151367,1741.1
14,604,416,37.65161156812251,30.89569536423841,5.052317880794707,12.022682119205303,29.01158940397351,9.464735099337753,47.00770920973558,2.6241721854304636,213.6015625,95.0,9.399999999999999,14.180000000000001,49.5,166.21875,6,0.834716796875,1.0,0.7000000000000001,9.819999999999999,4.5,1.0,0,22741.573387145996,19555.20703125,42296.780418395996,1797.3
15,604,382,37.401871848580065,29.95364238410596,5.142384105960269,12.01983443708609,29.865066225165563,10.131622516556297,47.515652801353895,2.8178807947019866,213.6015625,95.0,9.399999999999999,14.180000000000001,48.5,165.21875,7,0.6359157562255859,1.0,0.7000000000000001,9.819999999999999,4.5,0.0546875,0,22590.73059654236,18150.979370117188,40741.709966659546,2229.8
16,607,358,37.30526452795088,29.68863261943987,5.1317957166392105,12.04065897858318,30.381383855024712,11.542833607907752,46.26964969741566,2.960461285008237,228.607421875,95.0,9.399999999999999,14.180000000000001,48.5,213.6015625,7,0.3763885498046875,1.0,0.7000000000000001,9.819999999999999,4.5,0.310546875,0,22644.295568466187,16564.534591674805,39208.83016014099,2613.4
17,605,336,36.023096228828116,28.26776859504132,5.225454545454549,12.082016528925617,30.782644628099174,12.15884297520661,47.256742386590865,3.1603305785123967,228.607421875,95.0,9.399999999999999,14.180000000000001,48.5,169.609375,8,0.3763885498046875,1.0,0.7000000000000001,9.819999999999999,4.0,0.740234375,0,21793.97321844101,15878.265441894531,37672.23866033554,2624.6
18,607,324,34.603217282837264,27.322899505766063,5.211202635914343,12.127380560131794,30.94151565074135,11.675617792421738,46.902405585771724,3.372322899505766,228.607421875,95.0,9.399999999999999,14.180000000000001,48.5,168.609375,8,0.3763885498046875,1.0,0.7000000000000001,9.819999999999999,4.5,0.34521484375,0,21004.15289068222,15196.379409790039,36200.53230047226,2454.9
19,623,274,35.633549106255,27.401284109149277,5.2102728731942225,12.137881219903695,31.569020866773677,12.089245585874801,45.494156830502256,3.4991974317817016,228.607421875,95.0,9.399999999999999,14.180000000000001,48.5,167.609375,8,0.3763885498046875,1.0,0.7000000000000001,9.759999999999998,4.5,0.27734375,0,22199.70109319687,12465.398971557617,34665.100064754486,2133.1
20,604,298,32.46581933277332,26.903973509933774,5.168708609271516,12.176059602649008,32.004139072847686,12.002152317880798,45.598988808241465,3.6788079470198674,228.607421875,96.0,9.299999999999999,14.120000000000001,48.5,195.5859375,8,0.3763885498046875,1.0,0.7000000000000001,9.759999999999998,4.0,0.02532958984375,0,19609.354876995087,13588.498664855957,33197.853541851044,2652.5
21,602,277,33.03606700501172,27.141196013289036,5.199833887043187,12.159867109634542,32.25498338870432,12.234385382059806,42.901904274840646,3.8754152823920265,228.607421875,96.0,9.299999999999999,14.180000000000001,48.5,167.537109375,8,0.3763885498046875,1.0,0.7000000000000001,9.759999999999998,4.0,0.02685546875,0,19887.71233701706,11883.82748413086,31771.53982114792,2336.0
22,596,260,31.63722273247354,26.416107382550337,5.189261744966443,12.146946308724841,32.54194630872483,12.513926174496644,44.83643144094027,4.053691275167785,234.0128173828125,96.0,9.299999999999999,14.180000000000001,49.0,169.5167236328125,8,0.3763885498046875,1.0,0.7000000000000001,9.759999999999998,5.5,0.22021484375,0,18855.78474855423,11657.47217464447,30513.2569231987,2505.4
23,599,228,31.46538336288949,25.357262103505843,5.2380634390651055,12.190851419031723,32.78881469115192,13.338230383973297,46.33611724826328,4.240400667779633,189.41085815429688,96.0,9.399999999999999,14.180000000000001,49.0,234.0128173828125,9,0.3763885498046875,1.0,0.7000000000000001,9.759999999999998,5.0,0.16094970703125,0,18847.764634370804,10564.634732604027,29412.39936697483,2602.8
24,585,242,29.699182081731976,24.885470085470086,5.292820512820509,12.240205128205123,32.56666666666667,13.67179487179487,45.56526881160815,4.432478632478633,189.41085815429688,95.0,9.399999999999999,14.180000000000001,49.5,233.0128173828125,9,0.3763885498046875,1.0,0.7000000000000001,9.759999999999998,5.0,0.107421875,1,17374.021517813206,11026.795052409172,28400.816570222378,2730.4
25,569,222,30.802094455343557,24.590509666080845,5.306678383128295,12.274305799648499,33.015817223198596,13.986818980667838,43.907904939474285,4.595782073813708,270.9342041015625,95.0,9.399999999999999,14.180000000000001,49.5,232.0128173828125,9,0.34248828887939453,1.0,0.7000000000000001,9.759999999999998,5.5,0.43359375,1,17526.391745090485,9747.554896563292,27273.946641653776,2426.6
26,581,229,26.93642091907548,24.098106712564544,5.246127366609294,12.297624784853705,33.28399311531842,14.130464716006884,45.15261692667632,4.755593803786575,174.09552383422852,95.0,9.399999999999999,14.180000000000001,49.5,270.9342041015625,9,0.34248828887939453,1.0,0.7000000000000001,9.759999999999998,5.5,0.31610107421875,1,15650.060553982854,10339.949276208878,25990.00983019173,2469.5
27,554,238,26.33471322428126,23.904332129963898,5.277256317689531,12.327220216606506,33.42870036101083,13.765884476534302,44.42829497421489,4.9548736462093865,203.24398040771484,95.0,9.399999999999999,14.180000000000001,49.5,269.9342041015625,9,0.34248828887939453,1.0,0.7000000000000001,9.759999999999998,5.5,0.03634071350097656,1,14589.431126251817,10573.934203863144,25163.36533011496,2420.7
28,544,229,27.075324689558542,22.308823529411764,5.312499999999997,12.420955882352935,34.0422794117647,13.780882352941179,41.628737072236675,5.154411764705882,270.6088333129883,95.0,9.399999999999999,14.180000000000001,49.5,229.0128173828125,9,0.3721555918455124,1.0,0.8,9.759999999999998,19.5,0.419921875,1,14728.976631119847,9532.980789542198,24261.957420662045,2068.1
29,541,223,24.766562948302948,20.401109057301294,5.3033271719038835,12.541219963031418,34.15249537892791,13.370794824399265,44.33870983097051,5.373382624768946,273.8018798828125,95.0,9.399999999999999,14.180000000000001,49.5,178.3443374633789,10,0.2784423828125,1.0,0.8,9.759999999999998,19.5,0.1954498291015625,1,13398.710555031896,9887.532292306423,23286.24284733832,2080.7
30,542,209,25.696019636858875,19.800738007380073,5.267158671586718,12.591623616236156,34.29520295202952,13.295387453874536,39.63677731163479,5.555350553505535,273.8018798828125,95.0,9.399999999999999,14.180000000000001,49.5,172.42486572265625,10,0.2784423828125,1.0,0.8,9.759999999999998,19.5,0.3721555918455124,1,13927.24264317751,8284.086458131671,22211.32910130918,2241.4
31,541,199,24.22176344345656,18.90388170055453,5.3029574861367825,12.604547134935304,34.409426987060996,13.124029574861368,40.62126464520267,5.7744916820702406,173.13255751132965,95.0,9.399999999999999,14.180000000000001,49.5,203.24398040771484,10,0.2784423828125,1.0,0.8,9.819999999999999,20.5,0.15712642669677734,2,13103.974022909999,8083.631664395332,21187.60568730533,2089.2999999999997
32,550,180,24.449161110113966,17.883636363636363,5.291272727272727,12.63610909090909,34.50363636363636,13.490909090909087,37.77219167976744,5.983636363636363,295.91178703308105,95.0,9.499999999999998,14.180000000000001,49.5,188.38558959960938,11,0.2784423828125,1.0,0.8,9.819999999999999,21.5,0.15448379516601562,2,13447.038610562682,6798.994502358139,20246.03311292082,1986.0
33,552,182,22.75244550339446,16.96014492753623,5.160144927536236,12.636811594202902,34.5036231884058,13.470108695652169,37.10618349164724,6.190217391304348,241.73252487182617,95.0,9.499999999999998,14.180000000000001,49.5,173.13255751132965,11,0.2784423828125,1.0,0.8,9.819999999999999,21.5,0.22141456604003906,2,12559.34991787374,6753.325395479798,19312.67531335354,2469.7
34,566,171,22.829070566722287,16.229681978798588,5.062544169611309,12.640318021201402,34.8577738515901,13.515371024734968,30.95903865367784,6.425795053003534,184.4633903503418,96.0,9.499999999999998,14.180000000000001,49.5,172.13255751132965,12,0.2784423828125,1.0,1.1,9.879999999999999,21.5,0.38507533073425293,2,12921.253940764815,5293.995609778911,18215.249550543725,2169.7999999999997
35,564,174,21.899018446122238,15.554964539007091,5.023581560283686,12.680177304964534,34.788120567375884,13.348758865248215,28.778261456178267,6.680851063829787,184.4633903503418,96.0,9.499999999999998,14.180000000000001,49.5,141.3646240234375,12,0.2784423828125,1.0,1.3000000000000003,9.879999999999999,21.5,0.4301912784576416,2,12351.046403612942,5007.417493375018,17358.46389698796,2350.6
36,560,164,19.939974511850494,15.269642857142857,5.0428571428571445,12.694357142857147,34.652678571428574,13.253214285714286,33.01850315023827,6.855357142857143,179.341615319252,96.0,9.499999999999998,14.180000000000001,49.5,184.4633903503418,12,0.2784423828125,1.0,1.3000000000000003,9.879999999999999,21.5,0.16074037551879883,2,11166.385726636276,5415.034516639076,16581.420243275352,2238.5
