Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,1100,12.82,51.28,4.69,11.85,24.07,0.0,49.24818181818182,0.0,24.75,99.0,9.0,14.0,49.0,99.0,0,0.25,1.0,1.0,10.0,1.0,1.0,0,1282.0,54173.0,55455.0,0.0
1,95,1013,54.16842105263158,50.98947368421052,4.726315789473684,11.884210526315789,25.231578947368423,1.8736842105263158,48.57749259624877,0.0,119.75,99.0,9.0,14.0,49.0,105.5,0,0.75,1.0,1.0,10.0,2.0,1.0,0,5146.0,49209.0,54355.0,93.0
2,132,989,39.07102272727273,48.78030303030303,4.866666666666665,11.959393939393943,25.454545454545453,2.409090909090909,47.869628412537914,0.32575757575757575,145.0,100.0,9.1,14.06,49.0,124.75,1,0.75,1.0,1.0,9.94,2.0,1.0,0,5157.375,47343.0625,52500.4375,146.0
3,158,918,47.38192246835443,47.550632911392405,4.831012658227847,11.97987341772152,25.28481012658228,2.7151898734177213,47.428206699346404,0.5,149.75,100.0,9.1,14.06,49.0,123.75,2,0.75,1.0,0.9,9.94,1.5,0.5,0,7486.34375,43539.09375,51025.4375,109.0
4,198,854,48.24226641414141,49.26262626262626,4.815151515151514,11.98929292929293,25.833333333333332,3.378787878787878,46.32093457259953,0.7070707070707071,146.0,101.0,9.1,14.06,49.0,122.75,2,0.75,1.0,0.9,9.879999999999999,2.0,1.0,0,9551.96875,39558.078125,49110.046875,260.09999999999997
5,229,788,50.26180403930131,49.07860262008734,4.792139737991267,11.910829694323146,26.76419213973799,3.631877729257642,45.36755433058376,0.9126637554585153,174.75,101.0,9.1,14.06,49.5,132.875,3,0.75,1.0,0.8,9.879999999999999,2.0,1.0,0,11509.953125,35749.6328125,47259.5859375,345.2
6,279,724,46.90545194892473,48.494623655913976,4.951971326164872,11.871111111111114,26.49820788530466,4.000358422939068,44.438098886395025,1.118279569892473,164.40625,100.0,9.2,14.06,49.5,131.875,3,0.75,1.0,0.8,9.879999999999999,2.0,0.453125,0,13086.62109375,32173.18359375,45259.8046875,469.4
7,311,626,49.29523588223473,48.90996784565916,4.959163987138266,11.874147909967848,27.016077170418008,4.492604501607715,44.89851238019169,1.270096463022508,167.1875,100.0,9.2,14.120000000000001,49.5,145.0,3,3.017578125,1.0,0.8,9.879999999999999,2.0,0.5,0,15330.818359375,28106.46875,43437.287109375,472.7
8,340,572,47.660796760110294,48.82941176470588,4.8776470588235314,11.832117647058826,28.12794117647059,5.0711764705882345,44.14689753605769,1.4352941176470588,153.5,100.0,9.2,14.120000000000001,50.0,144.0,4,2.2158203125,1.0,0.8,9.819999999999999,2.0,1.0,0,16204.6708984375,25252.025390625,41456.6962890625,815.7
9,375,505,46.388248697916666,47.178666666666665,4.881866666666665,11.833173333333344,28.810666666666666,5.964533333333334,44.07141089108911,1.6506666666666667,162.25,100.0,9.2,14.120000000000001,50.0,143.0,5,1.03173828125,1.0,0.8,9.819999999999999,2.0,0.125,0,17395.59326171875,22256.0625,39651.65576171875,865.6999999999999
10,408,441,45.53920760809206,47.13235294117647,4.9698529411764705,11.821813725490204,29.579656862745097,6.808578431372547,43.57401170103458,1.8284313725490196,151.40625,100.0,9.2,14.120000000000001,50.0,153.5,5,0.515869140625,1.0,0.8,9.819999999999999,2.0,1.0,0,18579.996704101562,19216.13916015625,37796.13586425781,1110.3
11,456,378,43.247932969478136,46.296052631578945,4.955482456140349,11.812149122807014,30.00877192982456,7.307017543859647,42.60721971622851,2.0241228070175437,166.34765625,100.0,9.2,14.120000000000001,50.0,152.5,6,1.03173828125,1.0,0.8,9.819999999999999,1.5,0.017578125,0,19721.05743408203,16105.529052734375,35826.586486816406,979.5
12,475,343,40.77699000308388,45.258947368421055,5.003368421052628,11.808631578947356,30.997894736842106,8.225473684210527,43.02181428514486,2.1789473684210527,157.25390625,97.0,9.2,14.120000000000001,50.0,151.5,6,1.25933837890625,1.0,0.8,9.819999999999999,1.5,0.43408203125,0,19369.070251464844,14756.482299804688,34125.55255126953,1535.4
13,492,291,42.129030987499206,45.579268292682926,5.027845528455284,11.798008130081296,32.08841463414634,9.504471544715448,40.46942096723314,2.298780487804878,183.5,97.0,9.2,14.120000000000001,50.0,139.0,6,1.9796142578125,1.0,0.8,9.819999999999999,3.0,0.078125,0,20727.48324584961,11776.601501464844,32504.084747314453,1639.2
14,494,260,40.91406056948519,45.3582995951417,4.970647773279348,11.827449392712543,32.90080971659919,10.414372469635632,41.79632239708533,2.4412955465587043,187.51953125,97.0,9.2,14.120000000000001,50.5,176.96875,6,1.9796142578125,1.0,0.7000000000000001,9.819999999999999,3.0,0.25933837890625,0,20211.545921325684,10867.043823242188,31078.58974456787,1882.8
15,489,226,40.40165699527795,45.574642126789364,5.0830265848670715,11.782494887525562,34.30163599182004,11.959100204498974,44.18748123033912,2.5603271983640083,183.5,96.0,9.2,14.120000000000001,50.5,175.96875,6,1.0850830078125,1.0,0.7000000000000001,9.819999999999999,2.5,0.16845703125,0,19756.410270690918,9986.37075805664,29742.78102874756,1852.7
16,488,202,40.756106415732965,44.627049180327866,5.105327868852454,11.695491803278697,35.00409836065574,13.279918032786888,42.880253404673965,2.7151639344262297,183.5,96.0,9.2,14.120000000000001,50.5,174.96875,6,1.0850830078125,4.0,0.7000000000000001,9.759999999999998,2.5,0.9796142578125,0,19888.979930877686,8661.81118774414,28550.791118621826,2144.1
17,481,197,37.26875189386634,44.03326403326403,5.17546777546777,11.648440748440759,35.28378378378378,13.960291060291055,47.523369726190715,2.860706860706861,205.9970703125,96.0,9.2,14.06,50.5,183.5,6,2.2552490234375,4.0,0.7000000000000001,9.759999999999998,3.0,0.60595703125,0,17926.269660949707,9362.10383605957,27288.373497009277,2113.2
18,469,172,39.003777087116035,42.69296375266524,5.240938166311297,11.625159914712158,35.8955223880597,15.10021321961621,46.510573808536975,3.0511727078891258,224.296875,96.0,9.2,14.06,50.5,141.501220703125,6,2.1434707641601562,4.0,0.7000000000000001,9.699999999999998,3.5,0.959228515625,0,18292.771453857422,7999.818695068359,26292.59014892578,1832.7
19,468,181,34.94296199643714,40.64529914529915,5.394230769230768,11.56666666666668,36.96153846153846,14.7241452991453,46.55544243069644,3.269230769230769,205.9970703125,96.0,9.2,14.120000000000001,50.5,140.501220703125,7,2.2849349975585938,7.0,0.6000000000000001,9.699999999999998,8.5,1.6370849609375,0,16353.30621433258,8426.535079956055,24779.841294288635,1918.8999999999999
20,477,157,34.09515417346914,39.59538784067086,5.4727463312368965,11.52008385744234,37.44234800838574,14.269392033542978,47.024758600125644,3.429769392033543,172.6669921875,97.0,9.2,14.120000000000001,50.5,205.9970703125,7,2.2849349975585938,7.0,0.6000000000000001,9.699999999999998,8.5,1.2552490234375,0,16263.388540744781,7382.887100219727,23646.275640964508,1555.8
21,473,140,35.17414788111068,39.45665961945032,5.543340380549682,11.54634249471458,37.780126849894295,14.79619450317124,42.4043091910226,3.54122621564482,187.65476417541504,97.0,9.2,14.120000000000001,50.5,204.9970703125,8,2.2849349975585938,7.0,0.6000000000000001,9.699999999999998,9.0,0.2552490234375,0,16637.37194776535,5936.603286743164,22573.975234508514,2001.5
