Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,1100,12.0675,48.27,5.11,12.08,24.22,0.0,50.00272727272727,0.0,24.75,99.0,9.0,14.0,49.0,99.0,0,0.25,1.0,1.0,10.0,1.0,1.0,0,1206.75,55003.0,56209.75,0.0
1,96,1016,51.875,48.625,5.197916666666667,12.083333333333334,25.166666666666668,1.9270833333333333,49.34030511811024,0.0,120.75,99.0,9.0,14.0,49.0,98.0,0,0.25,1.0,1.0,10.0,2.0,1.0,0,4980.0,50129.75,55109.75,98.0
2,133,987,38.23073308270677,45.255639097744364,5.1541353383458635,11.992481203007518,25.703007518796994,2.736842105263158,48.8987462006079,0.3082706766917293,148.75,99.0,9.1,14.06,49.5,131.0,1,0.25,1.0,0.9,9.94,3.0,1.0,0,5084.6875,48263.0625,53347.75,156.0
3,153,906,51.29279003267974,44.1764705882353,5.174509803921568,11.90235294117647,25.50980392156863,3.542483660130719,48.71640452538632,0.45098039215686275,137.0,99.0,9.1,14.06,49.5,130.0,2,0.25,1.0,0.9,9.94,4.0,0.25,0,7847.796875,44137.0625,51984.859375,149.0
4,191,854,46.847758507853406,42.32984293193717,5.15130890052356,11.952251308900523,25.356020942408378,3.858638743455497,48.31894028103044,0.6701570680628273,154.5,99.0,9.1,14.120000000000001,49.5,129.0,2,0.25,1.0,0.8,9.94,4.0,1.0,0,8947.921875,41264.375,50212.296875,299.0
5,234,784,46.56163194444444,41.56837606837607,5.245726495726495,11.961965811965815,25.11111111111111,4.603846153846153,47.8542330994898,0.8675213675213675,162.375,99.0,9.2,14.120000000000001,50.0,141.625,3,0.25,1.0,0.7000000000000001,9.94,4.5,1.0,0,10895.421875,37517.71875,48413.140625,331.1
6,284,721,44.5547734650088,40.57746478873239,5.238028169014084,12.013591549295779,25.70774647887324,5.1517605633802805,47.058707524271846,1.1056338028169015,166.3125,99.0,9.2,14.120000000000001,50.0,140.625,4,0.25,1.0,0.7000000000000001,9.879999999999999,4.5,1.0,0,12653.5556640625,33929.328125,46582.8837890625,484.5
7,328,649,43.44527528344131,39.72560975609756,5.3579268292682904,12.035426829268296,25.46951219512195,5.402134146341463,46.835143008474574,1.326219512195122,160.1875,99.0,9.2,14.120000000000001,50.0,139.625,4,0.25,1.0,0.6000000000000001,9.879999999999999,4.5,1.0,0,14250.05029296875,30396.0078125,44646.05810546875,660.5
8,366,580,44.688117689122265,40.114754098360656,5.420218579234974,12.029562841530057,26.41256830601093,5.741803278688525,45.18873922413793,1.4781420765027322,150.625,99.0,9.2,14.120000000000001,50.0,138.625,4,0.25,1.0,0.6000000000000001,9.879999999999999,4.5,0.25,0,16355.85107421875,26209.46875,42565.31982421875,925.0
9,416,524,40.32391181358924,40.10096153846154,5.414423076923078,12.079278846153851,26.286057692307693,5.991826923076923,44.82239701365697,1.7067307692307692,159.09375,99.0,9.2,14.120000000000001,50.0,143.09375,5,0.25,1.0,0.6000000000000001,9.879999999999999,4.5,0.34423828125,0,16774.747314453125,23486.93603515625,40261.683349609375,1133.1
10,461,447,39.92044828667299,38.35574837310195,5.450325379609544,12.064902386117137,26.523861171366594,6.421041214750543,44.74243601003216,1.9240780911062907,158.34375,99.0,9.2,14.180000000000001,50.0,142.09375,5,0.25,1.0,0.6000000000000001,9.879999999999999,4.5,0.17578125,0,18403.32666015625,19999.868896484375,38403.195556640625,1181.7
