Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,1100,12.8925,51.57,5.13,12.24,26.6,0.0,50.35272727272727,0.0,24.75,99.0,9.0,14.0,49.0,99.0,0,0.25,1.0,1.0,10.0,1.0,1.0,0,1289.25,55388.0,56677.25,0.0
1,96,1018,52.390625,51.770833333333336,5.104166666666667,12.208333333333334,27.520833333333332,1.9166666666666667,49.653978388998034,0.0,119.75,99.0,9.0,14.0,49.0,98.0,0,3.5,1.0,1.0,10.0,2.0,1.0,0,5029.5,50547.75,55577.25,117.0
2,129,983,41.501937984496124,47.6124031007752,5.189147286821706,12.25627906976744,28.251937984496124,2.612403100775194,49.34085707019329,0.29457364341085274,148.5,99.0,9.1,14.0,49.0,114.0,1,3.5,1.0,0.9,9.94,6.0,1.0,0,5353.75,48502.0625,53855.8125,133.0
3,158,917,48.22923259493671,46.835443037974684,5.174050632911393,12.236075949367086,28.867088607594937,2.689873417721519,48.65345556161396,0.4936708860759494,150.75,99.0,9.2,14.06,49.5,113.0,2,1.640625,1.0,0.9,9.879999999999999,5.5,1.0,0,7620.21875,44615.21875,52235.4375,119.0
4,199,843,50.384952104271356,45.45226130653266,5.2080402010050255,12.288844221105526,29.087939698492463,3.0608040201005027,47.9189650059312,0.7185929648241206,166.1875,99.0,9.2,14.06,49.5,112.0,3,1.12109375,1.0,0.9,9.879999999999999,6.0,1.0,0,10026.60546875,40395.6875,50422.29296875,191.1
5,252,772,46.38138640873016,43.11507936507937,5.139285714285716,12.209682539682536,28.692460317460316,3.2734126984126988,47.58518863341969,0.9444444444444444,166.1875,99.0,9.2,14.120000000000001,49.5,111.0,3,1.12109375,1.0,0.8,9.819999999999999,6.0,1.0,0,11688.109375,36735.765625,48423.875,297.9
6,302,694,46.74322226821192,42.20198675496689,5.038741721854304,12.19615894039735,28.8841059602649,4.577483443708608,46.91119191282421,1.1225165562913908,166.1875,99.0,9.2,14.120000000000001,49.5,115.125,4,1.12109375,1.0,0.8,9.819999999999999,5.5,1.0,0,14116.453125,32556.3671875,46672.8203125,509.8
7,346,630,43.975470217666185,41.24277456647399,5.083526011560692,12.163757225433528,28.933526011560694,5.750578034682081,46.92023189484127,1.3265895953757225,156.75,99.0,9.2,14.120000000000001,49.5,142.0,4,0.880859375,1.0,0.8,9.819999999999999,5.5,0.5,0,15215.5126953125,29559.74609375,44775.2587890625,897.0
8,384,562,44.33509063720703,40.481770833333336,5.072916666666666,12.125156250000003,28.252604166666668,6.346875000000002,46.17331377891459,1.5182291666666667,166.25,99.0,9.2,14.120000000000001,50.0,141.0,4,1.115234375,1.0,0.8,9.819999999999999,5.0,0.25,0,17024.6748046875,25949.40234375,42974.0771484375,1063.9
9,421,500,43.71736112399792,40.418052256532064,4.966508313539193,12.127838479809967,29.046318289786225,7.811401425178143,45.6755673828125,1.6959619952494063,166.25,99.0,9.2,14.180000000000001,50.0,144.0,5,0.880859375,1.0,0.8,9.759999999999998,5.0,0.71875,0,18405.009033203125,22837.78369140625,41242.792724609375,1288.2
