Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,600,12.6525,50.61,4.87,11.94,25.52,0.0,51.406666666666666,0.0,24.75,99.0,9.0,14.0,49.0,99.0,0,0.25,1.0,1.0,10.0,1.0,1.0,0,1265.25,30844.0,32109.25,0.0
1,96,1133,52.2265625,50.40625,4.947916666666667,11.9375,26.416666666666668,1.7083333333333333,49.851279788172995,0.0,112.5,99.0,9.0,14.0,49.0,106.5,0,0.75,1.0,1.0,10.0,2.0,1.0,0,5013.75,56481.5,61495.25,93.0
2,118,1120,55.32309322033898,49.83050847457627,4.938135593220339,11.915762711864406,27.36864406779661,2.9661016949152543,48.84553571428572,0.211864406779661,203.25,100.0,9.1,14.06,49.5,136.5,1,0.75,1.0,0.9,9.94,2.0,1.0,0,6528.125,54707.0,61235.125,140.0
3,139,1104,55.29417715827338,50.719424460431654,4.943884892086332,11.88402877697842,28.16187050359712,3.5899280575539567,48.47169384057971,0.39568345323741005,177.0,100.0,9.1,14.06,49.5,135.5,2,1.0,1.0,0.9,9.94,2.0,0.75,0,7685.890625,53512.75,61198.640625,166.0
4,170,1093,54.70965073529412,48.417647058823526,4.95294117647059,12.035999999999998,29.270588235294117,3.7852941176470583,48.000543229643185,0.611764705882353,182.4375,100.0,9.1,14.06,49.5,154.25,2,1.0,1.0,0.9,9.94,2.0,1.0,0,9300.640625,52464.59375,61765.234375,210.5
5,212,1082,50.40466538915094,47.43396226415094,5.035377358490568,12.112358490566042,29.433962264150942,3.861320754716982,47.86203211645102,0.8301886792452831,136.8125,100.0,9.1,14.06,50.0,153.25,3,1.0,1.0,0.8,9.879999999999999,2.0,0.75,0,10685.7890625,51786.71875,62472.5078125,243.1
6,252,1039,55.26649305555556,46.12301587301587,4.976984126984127,12.139841269841268,29.59722222222222,4.60515873015873,47.93253729547642,1.0198412698412698,193.3125,100.0,9.1,14.120000000000001,50.0,152.25,3,1.0,1.0,0.8,9.879999999999999,1.5,0.5,0,13927.15625,49801.90625,63729.0625,333.7
7,301,1006,53.51313655004153,45.65448504983389,5.023920265780731,12.19966777408638,29.714285714285715,4.435548172757476,47.620045352882705,1.2624584717607974,283.3125,100.0,9.2,14.120000000000001,50.0,151.25,4,0.853515625,2.0,0.8,9.879999999999999,1.5,0.75,0,16107.4541015625,47905.765625,64013.2197265625,445.7
8,347,962,56.29883656790346,44.7492795389049,5.074639769452449,12.21233429394813,30.030259365994237,5.0270893371757905,47.11403245192308,1.4524495677233429,191.6015625,100.0,9.2,14.120000000000001,50.0,150.25,4,1.0,2.0,0.8,9.879999999999999,2.0,1.0,0,19535.6962890625,45323.69921875,64859.3955078125,576.3
9,391,940,53.80169287484016,44.94373401534527,5.111764705882355,12.266496163682865,30.539641943734015,5.330690537084396,47.23331948138298,1.6828644501278773,226.71875,99.0,9.2,14.120000000000001,50.5,173.71875,4,1.7509765625,2.0,0.8,9.879999999999999,2.0,1.0,0,21036.4619140625,44399.3203125,65435.7822265625,957.8
10,441,824,53.757060148278065,44.090702947845806,5.1859410430839015,12.302947845804983,30.998866213151928,6.456689342403625,47.72017928929005,1.8412698412698412,208.359375,99.0,9.299999999999999,14.120000000000001,50.5,172.71875,4,1.7509765625,2.0,0.8,9.879999999999999,2.0,1.0,0,23706.863525390625,39321.427734375,63028.291259765625,1106.8
11,499,734,49.28909797133329,43.37875751503006,5.032464929859723,12.305370741482973,31.382765531062123,7.336072144288575,48.85540156143563,2.038076152304609,184.8125,99.0,9.299999999999999,14.120000000000001,50.5,198.203125,5,1.878662109375,2.0,0.8,9.879999999999999,2.0,1.0,0,24595.259887695312,35859.86474609375,60455.12463378906,1414.7
12,528,666,47.51066999724417,41.81818181818182,5.043560606060607,12.346325757575746,32.46780303030303,8.283143939393934,49.81763465125282,2.2386363636363638,184.8125,98.0,9.299999999999999,14.120000000000001,50.5,197.203125,6,2.002197265625,5.0,0.8,9.879999999999999,2.0,0.529296875,0,25085.633758544922,33178.544677734375,58264.1784362793,1846.5
13,553,578,49.149586599946666,41.22423146473779,5.011211573236887,12.395985533453878,32.62296564195298,10.161482820976493,50.788839901194855,2.4050632911392404,214.640625,98.0,9.299999999999999,14.120000000000001,50.5,184.8125,6,1.3007965087890625,5.0,0.8,9.879999999999999,2.5,1.0,0,27179.721389770508,29355.949462890625,56535.67085266113,2003.7
14,564,556,46.48608125186136,40.141843971631204,5.041666666666669,12.461134751773047,33.159574468085104,11.477127659574473,50.81813411575427,2.595744680851064,194.10205078125,93.0,9.299999999999999,14.120000000000001,50.5,168.71875,6,1.3007965087890625,5.0,0.7000000000000001,9.879999999999999,2.5,0.9375,0,26218.149826049805,28254.882568359375,54473.03239440918,2645.4
15,566,517,45.71853566253986,39.886925795053,5.149823321554767,12.47236749116606,33.50706713780919,12.066961130742042,51.62424963355295,2.7508833922261484,218.45654296875,93.0,9.299999999999999,14.120000000000001,50.5,172.6328125,6,1.3007965087890625,4.0,0.8,9.879999999999999,2.0,0.294189453125,0,25876.69118499756,26689.737060546875,52566.42824554443,2279.6
16,560,476,45.514101478031705,39.47857142857143,5.191785714285712,12.448749999999993,33.558035714285715,12.149642857142851,52.9577356226304,2.8946428571428573,218.45654296875,93.0,9.299999999999999,14.120000000000001,51.0,171.6328125,6,2.601593017578125,4.0,0.8,9.879999999999999,2.0,0.578125,0,25487.896827697754,25207.88215637207,50695.778984069824,2303.0
17,596,421,43.360205586324604,38.54865771812081,5.285234899328854,12.4943288590604,33.92197986577181,12.906543624161062,54.33117777264883,3.085570469798658,218.45654296875,93.0,9.299999999999999,14.180000000000001,51.0,170.6328125,6,1.8983726501464844,4.0,0.8,9.879999999999999,1.5,0.3359375,0,25842.682529449463,22873.425842285156,48716.10837173462,2218.0
18,593,394,43.914846417071644,37.89376053962901,5.404384485666101,12.54752107925799,34.806913996627316,12.8866779089376,52.42074640148182,3.205733558178752,218.45654296875,93.0,9.299999999999999,14.180000000000001,51.0,200.52734375,6,1.8983726501464844,5.0,0.8,9.879999999999999,2.0,0.3544921875,0,26041.503925323486,20653.774082183838,46695.278007507324,2572.8
