Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,600,13.26,53.04,5.17,11.92,25.06,0.0,49.78666666666667,0.0,24.75,99.0,9.0,14.0,49.0,99.0,0,0.25,1.0,1.0,10.0,1.0,1.0,0,1326.0,29872.0,31198.0,0.0
1,94,1142,48.37234042553192,53.702127659574465,5.1063829787234045,11.957446808510639,26.361702127659573,1.7659574468085106,50.229422066549915,0.0,119.25,99.0,9.0,14.0,49.0,99.0,0,1.0,1.0,1.0,10.0,2.0,1.0,0,4547.0,57362.0,61909.0,118.0
2,109,1139,57.22935779816514,52.091743119266056,4.870642201834862,12.009174311926605,27.743119266055047,3.2660550458715596,49.935908691834946,0.1743119266055046,183.0,99.0,9.1,14.06,49.0,99.0,1,1.25,1.0,0.9,9.94,3.0,1.0,0,6238.0,56877.0,63115.0,135.0
3,137,1165,55.1875,51.54014598540146,5.124817518248173,11.966569343065691,27.635036496350367,4.102189781021898,49.294420600858366,0.36496350364963503,203.0,99.0,9.1,14.06,49.0,99.0,1,2.0,1.0,0.9,9.94,3.0,0.75,0,7560.6875,57428.0,64988.6875,175.0
4,165,1190,58.14933712121212,50.333333333333336,5.1024242424242425,11.96218181818182,27.01212121212121,4.953333333333332,49.1313025210084,0.5333333333333333,191.75,99.0,9.1,14.120000000000001,49.0,99.0,2,1.3125,1.0,0.9,9.94,3.0,1.0,0,9594.640625,58466.25,68060.890625,265.2
5,189,1239,58.332589285714285,48.94179894179894,5.2407407407407405,11.987195767195772,27.14814814814815,5.349206349206348,49.25746569814366,0.7301587301587301,193.625,99.0,9.1,14.120000000000001,49.0,99.0,2,2.0,1.0,1.0,9.94,4.0,1.0,0,11024.859375,61030.0,72054.859375,378.1
6,209,1194,60.17350104665072,45.78468899521531,5.161244019138753,11.982200956937803,27.411483253588518,5.1311004784689,48.98068467336683,0.9138755980861244,252.75,99.0,9.1,14.120000000000001,49.0,139.0625,3,1.8671875,1.0,1.0,9.94,5.5,1.0,0,12576.26171875,58482.9375,71059.19921875,427.4
7,252,1148,59.55630735367063,44.916666666666664,5.325793650793651,12.013015873015876,27.398809523809526,4.506349206349205,48.54089993466899,1.1388888888888888,220.625,99.0,9.2,14.180000000000001,49.0,138.0625,3,0.93359375,1.0,0.9,9.879999999999999,5.5,1.0,0,15008.189453125,55724.953125,70733.142578125,346.3
8,309,1126,58.482728433454696,44.79288025889968,5.273139158576053,12.036893203883498,27.844660194174757,4.65242718446602,48.989412189165186,1.3042071197411003,266.625,99.0,9.2,14.180000000000001,49.0,155.5,4,0.93359375,1.0,0.9,9.879999999999999,5.5,1.0,0,18071.1630859375,55162.078125,73233.2412109375,367.7
9,346,1098,60.587152558255056,44.91907514450867,5.289595375722542,11.96936416184971,27.904624277456648,5.552023121387283,49.50136612021858,1.4653179190751444,183.0625,99.0,9.2,14.180000000000001,48.0,179.25,4,1.9765625,1.0,0.9,9.879999999999999,5.0,1.0,0,20963.15478515625,54352.5,75315.65478515625,741.6
10,378,1003,63.889909370866405,44.613756613756614,5.28253968253968,12.000158730158727,28.354497354497354,6.518253968253971,49.72929843282652,1.6243386243386244,233.0625,99.0,9.2,14.180000000000001,48.0,178.25,4,1.8017578125,1.0,0.9,9.879999999999999,5.0,0.53125,0,24150.3857421875,49878.486328125,74028.8720703125,1056.2
11,425,927,60.29767290900735,44.781176470588235,5.333411764705879,12.06371764705882,28.423529411764704,7.123058823529413,49.917439910329016,1.8141176470588236,233.0625,99.0,9.2,14.180000000000001,48.0,177.25,4,0.90087890625,1.0,0.9,9.879999999999999,5.0,1.0,0,25626.510986328125,46273.466796875,71899.97778320312,1064.2
12,464,821,58.652063303980334,44.92025862068966,5.39633620689655,12.081206896551723,28.856681034482758,7.873060344827583,51.45479800262637,2.0150862068965516,248.1875,99.0,9.2,14.180000000000001,48.0,176.25,5,0.90087890625,1.0,0.9,9.879999999999999,5.0,1.0,0,27214.557373046875,42244.38916015625,69458.94653320312,1294.9
13,507,731,56.167370798084626,44.60157790927022,5.519723865877714,12.093412228796847,28.95562130177515,8.894674556213019,52.46210710392442,2.187376725838264,248.1875,99.0,9.2,14.180000000000001,48.0,233.0625,5,0.90087890625,1.0,0.9,9.879999999999999,4.5,1.0,0,28476.856994628906,38349.80029296875,66826.65728759766,1595.1
14,528,656,55.054223320700906,44.16856060606061,5.621401515151512,12.085227272727279,29.231060606060606,9.223106060606058,53.9235556997904,2.378787878787879,226.59375,99.0,9.299999999999999,14.180000000000001,48.0,248.1875,6,0.90087890625,1.0,0.9,9.879999999999999,4.5,0.0625,0,29068.629913330078,35373.8525390625,64442.48245239258,2038.4
15,562,591,53.320750606441834,43.313167259786475,5.632206405693944,12.091281138790027,29.319395017793596,9.570462633451958,54.83040065087643,2.5551601423487544,226.59375,98.0,9.299999999999999,14.180000000000001,48.0,247.1875,6,0.76458740234375,1.0,0.9,9.879999999999999,5.0,0.25,0,29966.261840820312,32404.76678466797,62371.02862548828,1951.3
16,582,540,53.57053372622356,44.450171821305844,5.759965635738824,12.087319587628855,29.95618556701031,9.985567010309278,54.74582186098452,2.6735395189003435,277.59375,99.0,9.299999999999999,14.180000000000001,48.0,246.1875,6,0.76458740234375,1.0,0.9,9.879999999999999,5.0,0.76953125,0,31178.05062866211,29562.74380493164,60740.79443359375,2142.7
17,599,491,51.908219300844834,44.26711185308848,5.917863105175283,12.118430717863108,30.8330550918197,10.637061769616027,57.794168818021255,2.8247078464106843,188.23046875,99.0,9.299999999999999,14.180000000000001,48.0,277.59375,6,0.73162841796875,1.0,0.9,9.879999999999999,5.5,0.90087890625,0,31093.023361206055,28376.936889648438,59469.96025085449,2190.8
18,580,468,54.59579757164265,44.38448275862069,5.9367241379310265,12.106413793103453,31.862068965517242,10.795172413793102,57.04465181399615,2.9603448275862068,269.05517578125,99.0,9.299999999999999,14.240000000000002,48.5,276.59375,6,0.73162841796875,1.0,0.9,9.879999999999999,5.5,0.5,0,31665.562591552734,26696.897048950195,58362.45964050293,2411.9
19,577,477,49.78357540507457,43.227036395147316,5.997053726169835,12.132547660311957,32.85181975736568,10.820450606585792,59.234102868933846,3.152512998266898,283.76708984375,99.0,9.299999999999999,14.240000000000002,48.5,269.05517578125,6,0.29967498779296875,1.0,0.8,9.879999999999999,5.5,0.25,0,28725.123008728027,28254.667068481445,56979.79007720947,2664.5
20,591,444,49.4177220404249,42.59390862944162,6.1135363790186075,12.156277495769888,33.43654822335025,11.553130287648049,60.33821597400012,3.3654822335025383,283.76708984375,98.0,9.399999999999999,14.240000000000002,48.5,268.05517578125,6,0.29967498779296875,1.0,0.8,9.879999999999999,6.5,1.0,0,29205.873725891113,26790.167892456055,55996.04161834717,2371.5
21,595,436,47.69748608885693,42.09915966386555,6.094957983193266,12.164705882352939,33.50756302521008,12.509243697478974,61.188294331961814,3.5546218487394956,288.064453125,98.0,9.399999999999999,14.240000000000002,48.5,267.05517578125,7,0.29967498779296875,1.0,0.8,9.879999999999999,6.5,1.0,0,28380.004222869873,26678.09632873535,55058.100551605225,2958.0
22,583,434,47.664507775936485,41.55746140651801,6.114408233276149,12.113722126929686,33.89451114922813,12.578216123499148,61.3590277834422,3.730703259005146,229.08868408203125,96.0,9.399999999999999,14.240000000000002,48.5,266.05517578125,7,0.29967498779296875,1.0,0.8,9.879999999999999,6.5,1.0,0,27788.40803337097,26629.818058013916,54418.22609138489,2714.0
23,582,409,50.83306192860161,40.970790378006875,6.162371134020607,12.104982817869411,33.87199312714777,12.6360824742268,59.34238727634868,3.9072164948453607,260.3251953125,96.0,9.399999999999999,14.240000000000002,48.5,265.05517578125,7,0.29967498779296875,1.0,0.7000000000000001,9.879999999999999,6.5,0.30877685546875,0,29584.842042446136,24271.03639602661,53855.87843847275,2490.7
24,602,386,49.83564787212004,41.119601328903656,6.248006644518264,12.125481727574753,34.084717607973424,12.450996677740866,59.30248406761051,4.096345514950166,279.22922134399414,95.0,9.399999999999999,14.240000000000002,48.5,253.098876953125,8,0.5993499755859375,1.0,0.7000000000000001,9.819999999999999,11.0,0.62298583984375,1,30001.060019016266,22890.758850097656,52891.81886911392,2242.1
25,607,375,49.38295070932568,40.20263591433278,6.3484349258649,12.15228995057661,34.547775947281714,12.289621087314673,59.00417754618327,4.245469522240527,297.5955810546875,95.0,9.399999999999999,14.240000000000002,48.5,242.638427734375,8,0.5993499755859375,1.0,0.7000000000000001,9.819999999999999,15.0,0.5600814819335938,1,29975.451080560684,22126.566579818726,52102.01766037941,2362.5
26,619,344,49.33865753783933,39.7124394184168,6.436187399030688,12.15857835218093,34.94022617124394,12.706946688206779,60.2909897981688,4.402261712439419,279.22922134399414,95.0,9.399999999999999,14.240000000000002,48.5,241.638427734375,8,0.7548837661743164,1.0,0.7000000000000001,9.819999999999999,15.0,1.0,1,30540.629015922546,20740.10049057007,51280.729506492615,2520.5
27,609,362,46.775806453427656,40.23809523809524,6.4888341543513866,12.150706075533659,35.66009852216749,12.78571428571429,61.19161347131044,4.513957307060755,279.22922134399414,95.0,9.399999999999999,14.300000000000002,48.5,249.29345703125,9,0.7548837661743164,1.0,0.7000000000000001,9.819999999999999,15.0,0.39739990234375,1,28486.466130137444,22151.36407661438,50637.83020675182,2983.2
28,604,349,49.22028237956249,40.71523178807947,6.5501655629139055,12.164172185430473,36.07201986754967,13.549006622516552,57.87084290496258,4.663907284768212,276.319580078125,95.0,9.399999999999999,14.300000000000002,48.5,248.29345703125,9,0.7548837661743164,1.0,0.7000000000000001,9.759999999999998,15.0,0.5053462982177734,1,29729.050557255745,20196.92417383194,49925.974731087685,3145.2999999999997
29,592,363,49.20282024507587,41.02871621621622,6.512162162162162,12.164729729729737,36.664695945945944,13.972804054054057,55.563677528016164,4.805743243243243,318.280029296875,95.0,9.399999999999999,14.300000000000002,48.5,237.47283935546875,9,0.34658515453338623,1.0,0.7000000000000001,9.759999999999998,16.0,0.5211074352264404,1,29128.069585084915,20169.61494266987,49297.68452775478,3286.0
30,604,348,47.33667407673321,41.10099337748344,6.500331125827813,12.172019867549663,36.860099337748345,14.753807947019881,56.720189553567735,4.966887417218543,267.79588317871094,95.0,9.399999999999999,14.240000000000002,48.5,248.51678466796875,9,0.34658515453338623,1.0,0.7000000000000001,9.759999999999998,16.0,0.0201263427734375,1,28591.35114234686,19738.62596464157,48329.97710698843,3033.9
31,604,359,45.72496360185131,40.42880794701987,6.533278145695362,12.137516556291406,36.83195364238411,14.519536423841068,56.183591651717265,5.19205298013245,291.9434814453125,95.0,9.399999999999999,14.240000000000002,48.5,247.51678466796875,9,0.34658515453338623,1.0,0.7000000000000001,9.759999999999998,16.0,0.4772491455078125,2,27617.87801551819,20169.9094029665,47787.78741848469,3047.4
