Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,600,12.33,49.32,5.12,12.09,25.67,0.0,51.08833333333333,0.0,24.75,99.0,9.0,14.0,47,99.0,0,0.25,1.0,1.0,10.0,1,1.0,0,1233.0,30653.0,31886.0,0.0
1,98,1133,48.59183673469388,48.97959183673469,5.13265306122449,12.091836734693878,26.153061224489797,1.969387755102041,51.257722859664604,0.0,116.75,99.0,9.0,14.0,47,99.0,0,0.25,1.0,1.0,10.0,2,1.0,0,4762.0,58075.0,62837.0,108.0
2,112,1116,50.81919642857143,44.973214285714285,5.04375,12.0725,27.660714285714285,3.482142857142857,51.185931899641574,0.20535714285714285,193.25,98.0,9.1,14.0,47,205.5,1,1.0,1.0,0.9,9.94,4,1.0,0,5691.75,57123.5,62815.25,206.0
3,139,1114,49.142873201438846,43.48201438848921,5.045323741007196,12.047482014388489,27.690647482014388,2.985611510791367,50.306693222621185,0.4460431654676259,161.5,99.0,9.1,14.06,47,204.5,2,1.0,1.0,0.9,9.94,4,0.5,0,6830.859375,56041.65625,62872.515625,186.0
4,181,1089,51.95480835635359,41.19889502762431,5.1386740331491705,12.046629834254137,27.414364640883978,2.727624309392265,49.56379132231405,0.6795580110497238,176.625,99.0,9.2,14.120000000000001,47,203.5,2,1.625,1.0,0.9,9.94,4,0.8125,0,9403.8203125,53974.96875,63378.7890625,83.7
5,221,1057,55.60333003393665,40.30769230769231,5.120814479638007,12.08298642533936,27.262443438914026,3.6235294117647063,49.054643152790916,0.8552036199095022,202.25,99.0,9.2,14.120000000000001,47,202.5,3,0.40625,1.0,0.9,9.94,3,0.25,0,12288.3359375,51850.7578125,64139.09375,257.1
6,277,1043,48.78317844652527,39.11913357400722,5.070397111913361,12.050108303249088,27.249097472924188,4.144765342960287,49.162796620325985,1.0974729241877257,175.625,99.0,9.299999999999999,14.120000000000001,47,201.5,4,0.40625,1.0,0.8,9.94,3,1.0,0,13512.9404296875,51276.796875,64789.7373046875,421.5
7,308,1027,51.820861023741884,38.86363636363637,5.10974025974026,12.068961038961032,27.032467532467532,5.069480519480522,48.708409087451315,1.2467532467532467,199.75,99.0,9.299999999999999,14.120000000000001,47,200.5,4,1.453125,1.0,0.8,9.94,2,0.1875,0,15960.8251953125,50023.5361328125,65984.361328125,715.5000000000001
8,336,949,53.07195100330171,39.148809523809526,5.0005952380952365,12.092619047619044,28.104166666666668,6.405654761904761,48.432973236630666,1.4404761904761905,165.75,99.0,9.399999999999999,14.180000000000001,47,199.5,5,1.21875,1.0,0.8,9.94,2,1.0,0,17832.175537109375,45962.8916015625,63795.067138671875,1063.0
9,382,877,51.98710272823953,39.010471204188484,4.989005235602093,12.16418848167538,27.7434554973822,6.4020942408377,47.61010213262543,1.638743455497382,202.453125,98.0,9.399999999999999,14.180000000000001,47,198.5,5,1.533203125,1.0,0.8,9.879999999999999,2,0.09375,0,19859.0732421875,41754.0595703125,61613.1328125,938.5
