,Trait,Min Val,Max Val
0,#animals,100.0,100.0
1,#food,600.0,600.0
2,hit range,1.0,9.0
3,life range,1.0,49.0
4,vision range,10.0,14.0
5,energy range,1.0,99.0
6,max turns,5000.0,5000.0
7,Map Width,40.0,40.0
8,Map Height,40.0,40.0
9,Peace Regen Limit,0.01,0.4
10,Stability factor,0.25,0.25
11,Half cycle,25.0,25.0
12,Mutation constant,0.01,0.01
13,Mutation Choice,-1.0,1.0
