Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,600,12.9,51.6,4.94,12.07,23.11,0.0,50.733333333333334,0.0,24.75,99.0,9.0,14.0,48.0,99.0,0,0.75,3.0,1.0,10.0,1.0,1.0,0,1290.0,30440.0,31730.0,0.0
1,95,1142,50.25,51.694736842105264,5.073684210526316,12.042105263157895,24.105263157894736,1.4210526315789473,50.225262697022764,0.0,118.75,99.0,9.0,14.0,48.0,99.0,0,0.75,3.0,1.0,10.0,2.0,1.0,0,4773.75,57357.25,62131.0,73.0
2,110,1122,59.17670454545455,50.5,5.1090909090909085,11.98290909090909,24.904545454545456,2.827272727272727,49.43783422459893,0.18181818181818182,179.75,100.0,9.1,14.06,48.0,99.75,1,3.5,4.0,0.9,9.94,1.5,0.75,0,6509.4375,55469.25,61978.6875,143.0
3,142,1123,51.55105633802817,49.014084507042256,5.274647887323944,11.909718309859151,24.954225352112676,2.7464788732394365,48.584817453250224,0.43661971830985913,179.75,100.0,9.1,14.06,48.0,98.75,2,2.875,4.0,0.9,9.879999999999999,1.5,1.0,0,7320.25,54560.75,61881.0,119.0
4,162,1110,58.38768325617284,48.25925925925926,5.2407407407407405,11.886049382716047,25.83641975308642,3.5018518518518524,48.36362612612613,0.5679012345679012,179.75,100.0,9.1,14.06,48.0,136.75,2,2.9765625,4.0,0.9,9.94,1.5,1.0,0,9458.8046875,53683.625,63142.4296875,190.3
5,202,1113,52.92674814356435,46.49009900990099,5.39207920792079,11.863465346534653,25.893564356435643,3.9143564356435645,48.484473270440255,0.7722772277227723,196.0,100.0,9.1,14.120000000000001,48.0,144.75,2,2.90625,4.0,0.9,9.879999999999999,1.0,1.0,0,10691.203125,53963.21875,64654.421875,266.8
6,235,1093,59.22573138297872,46.723404255319146,5.4068085106383,11.865446808510635,26.71276595744681,4.472765957446808,48.24624742680695,0.9319148936170213,154.75,101.0,9.2,14.120000000000001,48.5,179.75,3,4.546875,4.0,0.9,9.879999999999999,1.5,0.875,0,13918.046875,52733.1484375,66651.1953125,265.1
7,280,1097,58.84749581473214,45.15714285714286,5.5285714285714285,11.768999999999997,26.416071428571428,4.766785714285714,47.614922800820416,1.1071428571428572,213.0,101.0,9.2,14.120000000000001,48.5,181.875,3,3.3359375,3.0,0.9,9.879999999999999,1.5,1.0,0,16477.298828125,52233.5703125,68710.869140625,423.3
8,321,1103,59.906459915303735,44.82866043613707,5.684112149532714,11.8033644859813,26.503115264797508,5.569158878504675,47.65525484474161,1.2897196261682242,211.71875,101.0,9.2,14.120000000000001,48.5,180.875,4,3.7265625,3.0,0.8,9.819999999999999,1.5,0.9765625,0,19229.9736328125,52563.74609375,71793.7197265625,700.6
9,348,1018,58.379050770025145,43.43103448275862,5.701724137931032,11.799999999999994,27.073275862068964,6.1227011494252865,48.29595791380157,1.485632183908046,211.71875,102.0,9.2,14.120000000000001,48.5,179.875,4,1.86328125,3.0,0.8,9.819999999999999,1.5,1.0,0,20315.90966796875,49165.28515625,69481.19482421875,926.6
