Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat
0,100,600,12.965,51.86,5.16,12.09,24.53,0.0,50.115,0.0,24.25,97.0,9.0,14.0,49,99.0,0,0.25,1.0,1.0,10.0,1,1.0,0,1296.5,30069.0,31365.5,0.0
1,97,1135,48.72164948453608,51.134020618556704,5.175257731958763,12.061855670103093,25.061855670103093,1.6804123711340206,50.145814977973565,0.0,113.5,97.0,9.0,14.0,49,99.0,0,1.0,1.0,1.0,10.0,2,1.0,0,4726.0,56915.5,61641.5,89.0
2,113,1119,52.233960176991154,49.4070796460177,5.176991150442478,12.071858407079645,26.938053097345133,2.9646017699115044,49.61170688114388,0.21238938053097345,161.5,97.0,9.1,14.06,49,98.0,1,1.0,1.0,1.0,10.0,3,1.0,0,5902.4375,55515.5,61417.9375,161.0
3,141,1101,52.669326241134755,47.716312056737586,5.0929078014184395,12.086808510638296,26.907801418439718,3.127659574468085,49.155540417802,0.41843971631205673,186.0,97.0,9.1,14.06,49,98.0,2,1.0,1.0,1.0,9.94,4,1.0,0,7426.375,54120.25,61546.625,134.0
4,177,1074,52.648216807909606,47.259887005649716,5.250282485875706,12.108700564971754,26.768361581920903,3.4079096045197743,48.90211824953445,0.632768361581921,146.0,97.0,9.2,14.120000000000001,49,98.0,2,1.0,1.0,1.0,9.94,4,1.0,0,9318.734375,52520.875,61839.609375,165.20000000000002
5,225,1050,50.67963541666666,45.946666666666665,5.3066666666666675,12.109066666666665,26.573333333333334,3.2262222222222223,48.35821428571428,0.8444444444444444,180.0625,97.0,9.2,14.120000000000001,49,176.0,3,1.0,1.0,0.9,9.94,4,1.0,0,11402.91796875,50776.125,62179.04296875,168.0
6,262,1016,52.35472328244275,44.26335877862596,5.3587786259542005,12.144809160305346,26.561068702290076,3.927099236641222,48.6915984867126,1.0305343511450382,161.25,96.0,9.2,14.120000000000001,49,175.0,3,1.0,1.0,0.9,9.94,4,1.0,0,13716.9375,49470.6640625,63187.6015625,406.1
7,302,990,54.687018186051326,43.16225165562914,5.477483443708611,12.200993377483446,26.480132450331126,5.3500000000000005,48.02462515782828,1.1821192052980132,220.8125,96.0,9.2,14.120000000000001,49,174.0,4,2.0,1.0,0.9,9.879999999999999,4,1.0,0,16515.4794921875,47544.37890625,64059.8583984375,663.6
8,337,910,56.65905653050816,43.4213649851632,5.492284866468843,12.199643916913951,27.124629080118694,6.101186943620178,46.86386289491758,1.3798219584569733,243.0625,97.0,9.299999999999999,14.120000000000001,49,173.0,4,2.328125,1.0,0.9,9.879999999999999,4,1.0,0,19094.10205078125,42646.115234375,61740.21728515625,852.9
9,398,836,52.158924812048525,42.947236180904525,5.528391959798998,12.23638190954775,26.78894472361809,6.5894472361809,45.902564527885765,1.5728643216080402,232.53125,97.0,9.299999999999999,14.120000000000001,49,172.0,5,0.9483642578125,1.0,0.9,9.879999999999999,4,1.0,0,20759.252075195312,38374.5439453125,59133.79602050781,924.8
